Temperature (°C),Temperature (°C),Text Data,Temperature (°C),Temperature (°C),Temperature (°C)
,14.0,,21.22,,
,,(Av),21.23,1.571,0.8859
20.0,40.0,,25.54,,
,14.0,,25.57,,
,,(Av),25.56,1.993,1.129
25.0,22.0,,27.53,,
,12.0,,27.52,,
,,(Av),27.53,2.2,1.249
30.0,24.0,,29.45,,
,24.0,,29.4,,
,,(Av),29.43,2.41,1.371
40.0,36.0,,33.16,,
,36.0,,33.15,,
,,(Av),33.16,2.854,1.631
50.0,14.0,,36.68,,
,14.0,,36.7,,
,,(Av),36.69,3.318,1.905
60.0,14.0,,40.07,,
,14.0,,40.02,,
,,(Av),40.05,3.805,2.196
70.0,14.0,,43.04,,
,14.0,,43.05,,
,,(Av),43.04,4.283,2.484
80.0,7.0,,45.93,,
,7.0,,45.88,,
,,(Av),45.9,4.784,2.789
90.0,8.0,,48.67,,
,8.0,,48.73,,
,,(Av),48.7,5.322,3.12
99.1,6.0,,51.15,,
,6.0,,51.18,,
,,(Av),51.17,5.843,3.444
