Temperature (°C),Text Data,Temperature (°C),Numeric Data,Text Data,Temperature (°C),Text Data,Temperature (°C)
69,±,2,1200,±,100,16 ± 2,
81,±,2,1100,±,100,23 ± 2,
87,±,2,3830,±,25,23.5 ±,1.0
88,±,1,3850,±,15,21.5 ±,1.0
89,±,1,3950,±,75,17 ± 1,
110,±,2,3300,±,80,23.5 ±,1.0
117,±,2,3700,±,45,29 ± 1,
121,±,2,3520,±,40,38 ± 1,
122,±,3,3450,±,65,23 ± 1,
133,±,2,1200,±,100,26 ± 1,
154,±,2,1200,±,100,52 ± 2,
181,±,2,2640,±,35,198 ±,5.0
187,±,1,2005,±,20,143 ±,3.0
207,±,3,1900,±,100,212 ±,2.0
232,±,1,3025,±,30,281 ±,5.0
234,±,2,3870,±,45,289 ±,6.0
249,±,2,2900,±,100,360 ±,4.0
252,±,1,3020,±,35,391 ±,5.0
260,±,1,3780,±,55,393 ±,7.0
260,±,1,3900,±,115,378 ±,8.0
260,±,2,4135,±,30,395 ±,5.0
273,±,2,3200,±,50,444 ±,10.0
