Column_A,Column_B,Column_C,concn of,Na Po,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K
t. /,,,,3,4.0,,,a,,b
,o c,,g ( l ) / 100 g ( 2 ),mass%,,a,mol/kg,,t ime/h,
169,,,7 1 . 9,"41 , 83",,,4 . 38,,4 7,
169,,,7 0 . 2,41 . 24,,,4 . 28,,4 7,
18 5,,,66 . 2,"3 9 , 83",,,4 . 03,,48,
185,,,65 . 0,"3 9 , 39",,,3 . 9 6,,48,
18 7,,,63 . 1,"38 , 69",,,3 . 84,,67,
187,,,62 . 0,3 8 . 27,,,3 . 78,,67,
204,,,62 . 0,38 . 2 7,,,3 . 78,,7 1,
204,,,60 . 8,3 7 . 81,,,3 . 70,,7 1,
214,,,so . a,"33 , 33",,,"3 , 0 5",,9 0,
214,,,50 . 8,"3 3 , 69",,,3 . 09,,90,
216,,,48 . 8,"3 2 , 8 0",,,2 . 9 7,,65,
21 6,,,4 7 . 6,"32 , 2 5",,,2 . 9 0,,65,
225,,,"25 , 2","20 , 13",,,1 .  54,,15,
225,,,33 . 7,"25 , 20",,,"2 , 05",,1 5,
225,,,27 . 3,21 . 44,,,1 . 66,,18,
22 5,,,27 . 8,"21 , 7 5",,,1 . 69,,18,
235,,,17 . 9,15 . 18,,,1 . 09,,1 7,
250,,,8 . 6,7 . 92,,,0 . 52,,17,
250,,,8 . 6,"7 , 92",,,0 . 52,,1 7,
250,,,8 . 5,7 . 83,,,0 . 52,,17,
300,,,2 . 4,2 . 34,,,0 . 1 5,,18,
3 5 0,,,0 . 15,"0 , 15",,,0 . 01,,19,
