-1 . 18,4.54,"0 , 40","0 , 22",Column_E,ice,42 . 6,59 . 46 11 . 06,"6 , 90",Column_J,Column_K
-2 .60,"9 , 7 5","0 , 91",o . so,,I I,44 . 5,60 .84 11 . 64,7 . 31,,I I
-4 . 6,15.43,1 .  52,0 .85,,I I,4 5 . 4,61 . 94 12.13,7 .66,,I I
-7 . 7,21.74,"2 , 3 0",1 . 30,,I I,4 5 . 6,62 . 51 12 . 39,7 . 8 5,,I I
-12 . 0,2 7 . 34,3 . 09,1.7 7,,I I,4 5 . 6,63 . 12 12 . 68,8.06,,I I
"-15 , 8",31.53,3 . 7 6,2 . 16,,I I,4 5 . 4,,,B,+ C
-20.0,35.12,"4 , 3 9",2.54,,I I,25,63.17 12 . 7 0,8 . 07,,cc
"-24 , 0",38 . 33,"5 , 00","2 , 92",A,+ ice,3 0,"63 , 19 12 , 71",8 . 08,,I I
"-28 , 2",40 . 2 5,"5 , 40","3 , 17",B c+,ice,35,"63 , 33 12 . 77",8 . 13,,I I
-8.8,"42 ,92","6 , 00","3 , 54",,B,40,63 . 41 12 .81,8 . 16,,I I
0,44 . 2 6,"6 , 3 1",3 . 74,,I I,45,63 . 56 12 .89,8 . 21,,I I
10,46 .83,"6 , 95",4.14,,I I,so,63.80 13 . 00,8.30,,C
2 0,49 . 62,7. 71,4 . 63,,I I,,,,,I I
25,51.42,8.23,4 . 98,,"""",60 -7 . 7,"64.08 c 43.85 13 . 14 6 , 21",8 . 40 3 . 67,,A
30,SJ . OB,"8 ,  7 5",5 . 32,,I I,0,47.62 7 . 16,4.28,,I I
35,"55 , 43","9 , 54",5.85,,I I,5 . 0,"4 9 ,80  7 , 7 6",4 . 67,,I I
40,"57 , 51","10 , 30",6.37,,I I,8 .8,52 . 23 8 . 43,5 . 15,,I I
,,,,,,12 .3,57.72 10 . 00,6 . 43,,I I
