Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Text Data
0.1,35.624,26.267,a,c
3.78,35.625,26.267,a,c
4.6,35.645,26.278,b,r
4.8,35.622,26.266,b,c
10.1,35.712,26.315,b,r
10.2,35.677,26.296,a,c
10.2,35.68,26.297,a,r
10.8,35.682,26.298,b,c
21.7,35.84,26.384,a,r
22.0,35.865,26.398,b,r
28.85,36.008,26.475,a,r
28.9,35.986,26.463,b,r
30.8,36.06,26.503,b,r
39.6,36.32,26.643,b,r
40.0,36.325,26.646,b,r
40.3,36.303,26.634,a,r
40.3,36.323,26.645,a,c
49.6,36.633,26.811,a,r
49.64,36.67,26.831,b,r
59.1,37.01,27.013,a,c
60.02,37.072,27.046,a,r
60.07,37.046,27.032,b,r
72.0,37.593,27.322,a,r
72.05,37.598,27.325,b,r
80.9,38.05,27.562,b,r
