Text Data,Text Data,Text Data,Temperature (°C),Temperature (°C),Text Data,Phase
213,14.5,,0.168,44.52,h,II
237.2,19.45,,0.18,47.6,c,II
237.6,19.81,,0.18,47.6,h,II
269.2,32.33,,0.198,50.54,h,II
298,47.8,,0.216,53.28,h,II
298.1,48.26,-,0.216,53.28,c,II
330,68.40,,0.238,56.38,h,II
342.2,unsaturated,,0.247,57.58,c,II
349.4,82.80,,0.252,58.23,h,II
371,100.5,,0.27,60.48,h,II
372 .5,101. 8,,0.272,60.73,h,II
375,unsaturated,,0.274,60.97,c,II
375,102.2,,0.274,60.97,h,II
388,unsaturated,,0.287,62.49,c,II
397.3,121.8,,0.293,63.17,h,II
400,unsaturated,,0.295,63.39,c,II
427.2,151,,0.322,66.28,h,II
428.6,150.7,,0.323,66.38,c,II
439.5,160.4,,0.335,67.58,h,II
457.2,187,,0.354,69.4,h,II
472,185.0,,0.37,70.85,h,II
480.4,190.7,,0.377,71.46,h,II
485.8,194.0,,0.381,71.81,c,II
493.8,200.1,,0.393,72.82,h,II
497.2,202.0,,0.395,72.99,c,II
516.1,214H,,0.416,74.67,c,II
526.4,218.5±1,,0.427,75.51,c,II
529.7,217.1±1,,0.432,75.89,h,II
538.9,218±3,,0.444,76.77,h,II
548.7,218±5,,0.458,77.76,h,II
584.5,220±5,,0.509,81.1,h,II
645,197±5,,0.624,87.3,h,II
