Temperature (°C),Text Data,Temperature (°C),Temperature (°C),Temperature (°C)
15.5,288.7,2.9,3.15,0.19
16.0,289.2,3.0,3.25,0.195
21.0,294.2,3.6,3.9,0.235
22.0,295.2,3.7,4.0,0.24
30.0,303.2,5.0,5.3,0.33
36.0,309.2,6.4,6.7,0.42
41.0,314.2,7.6,7.9,0.5
46.0,319.2,9.5,9.7,0.625
54.0,327.2,14.0,13.7,0.93
58.5,331. 7,17.2,16.4,1.165
59.0,332.2,17.5,16.6,1.165
64.0,337.2,23.8,21.5,1.6
68.5,341. 7,27.7,24.2,1.865
69.0,342.2,31.6,26.8,2.14
70.0,343.2,31.9,27.0,2.16
73.0,346.2,44.9,34.6,3.09
77.2,350.4,70.0,46.0,4.97
78.5,351. 7,85.0,51.3,6.16
