"""",(67.48)a,""".1",Zaitseva and Lepeshkov (50)
"""",67.58,,Kamaukhov (17)
"""",67.6,,Freeth (7)
"""",67.63,,Comec and Dickely (10)
"""",67.64,,Kudryakova and Kamaukhov (57)
"""",67.65,,Leboshchina and Kudryakova (85)
"""",67.7,"""",Molchanov (28)
298.15,67.7,,WiIlard and Smith (6)
298,67.7,,"Chemykh, Ivanov and Alekseeva(51)"
"""",67.79,"""",Lilich and Ovtrakht (27)
"""",67.8,"""",Lepeshkov and Drozhinina (34)
,,,Dmzhinina and Paraguzova (82)
,,,"Sal'nikova, Kamaukhov and"
,,,Lepeshkov (65); Kamaukhovand
,,,Sal'nilova (55)
"""",67.82,,Kamaukhov and Makin (20)
"""",67.84,"""","Bestuzheva, Kinderov and"
,,,Kamaukhov (87); Bestuzheva (88)
298.2,67.86,"""",Kamaukhov and Kudryakova (32)
298,67.89,,"Kamaukhov and Tarakanov (56,64)"
,,,Lepeshkov and Tarakanov (70)
"""",67.89,,"Andronova (62); Andronova,"
,,,Bogomolova and Gulyakova (40)
"""",67.89,"""","Smimov, Ivanov and Chechneva (78)"
