Text Data,Temperature (°C),Text Data,Empty_3,Temperature (°C),Text Data,Temperature (°C),Temperature (°C)
1.502.056,0.16,3506,,,,,1.0
1.504.99,0.4,329.9  ±,,0.1,378.4  ±,0.1,1.0
1.509.59,0.8,319.0  ±,,0.1,378.8 ±,0.1,1.0
1.5020.0,1.89,310.3  ±,,0.1,379.3 ±,0.2,1.0
1.5030.3,3.29,310.1  ±,,0.1,378.8 ±,0.1,1.0
1.5040.1,5.07,313.1 ±,,0.1,379.3 ±,0.1,1.0
1.5050.2,7.64,319.9 ±,,0.1,379.3  ±,0.1,1.0
1.5060.2,11.46,343.2  ±,,0.3,,,1.0
1.5063.16,12.96,3506,,,,,1.0
1.5067d,15.4,379d,,,,,1.0
2.000.89,0.06,3659,,,,,0.5
2.00 L 1t 6,0.08,3506,,,,,0.5
2.0324h 03.0,0.2,,,,,,0.5
2.005. o .,0.37,321.3  ±,,0.4,374.7  ±,0.5,0.5
-<-2.0010. o,0.78,300-<-,,,,,0.5
2.0010.3,0.81,3052 ±,,0.1,374.7 ±,0.5,0.5
h 2.0012.4,1.0,300 h,,,,,0.5
2.0020.0,1.76,293.6  ±,,0.2,375.4 ±,0.5,0.5
2.0030.0,3.01,290.6  ±,,0.2,375.1 ±,0.3,0.5
"2.0040. o,l",4.69,290.6  ±,,0.4,374.7 ±,0.5,0.5
2.00573,9.44,300-<-,,,,,0.5
2.0072i,18.09,3506,,,,,0.5
2.0074 d,20.02,375d,,,,,0.5
2.164.85,0.35,301 ± 1,,,,,
2.1610.0,0.76,291 ± 1,,,,,
2.1620.0,1.71,282 ± 1,,,,,
2.1628.9,2.77,281  ± 1,,,,,
2.1637.5,4.1,279 ± 1,,,,,
