Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K,Column_L,Column_M
2.50,8.44,7.25,2.67,14.92,1.08,----,----,1.11,0.14,2.12,1.0,24.48
2.60,8.43,7.25,2.67,14.91,1.08,----,----,1.12,0.14,2.33,1.0,21.52
2.70,8.45,7.27,2.67,14.94,1.08,----,----,1.13,0.14,3.09,1.0,23.67
2.802.85,8.327.35,7.096.06,2.692.78,14.7113.00,1.060.92,---- ----,--------,1.020.62,0.120.07,3.113.13,11.0,25.2723.73
2.90,7.45,6.11,2.79,13.17,0.93,----,---,,,,,
3.00,6.61,5.22,2.90,11.69,0.81,----,-----,0.580.24,0.070.03,3.143.18,11.0,25.4124.82
3.05,6.17,4.79,2.95,10.91,0.74,----,----,0.11,0.01,3.19,1.0,25.28
3.10,5.34,4.03,3.03,9.33,0.63,0.08,0.02,----,----,3.19,1.0,24.73
3.20,4.80,3.46,3.18,8.01,0.53,0.34,0.09,----,----,3.21,1.0,24.32
3.30,4.53,3.11,3.34,7.20,0.48,0.59,0.16,----,----,3.22,1.0,23.97
3.50,4.26,2.65,3.68,6.14,0.40,1.02,0.27,----,----,3.22,1.0,23.73
