mass%,mol%,mass%,mol%,mass%,mol/kg,,mass%,mol/kg,mas s,mol/kg,phas e
10.33,6.36,52.07,14.00,18.24,5.36,,----,----,61.01,30.02,F
7.39,4.48,53.66,14.22,13.05,3.85,,----,-- --,66.30,32.78,F
5.10,3.09,55.39,14.64,9.00,2.76,,----,----,71.11,36.49,F
2.68,1.71,60.24,16.80,4.73,1.93,,----,----,80.35,54.00,F
,,,,,temp .,=,60° c .,,,,
34.39,13.22,0.094,0.016,0.21,0.02,,44.22,19.90,----,----,D
30.14,11.16,0.136,0.022,0.31,0.03,,38.67,15.84,----,----,D
28.72,10.52,0.31,0.050,0.71,0.06,,36.54,14.56,----,----,D
28.29,10.34,0.52,0.082,1.20,0.11,,35.63,14.10,----,----,D + D0.5
26.25,9.46,0.90,0.14,2.08,0.19,,32.36,12.34,----,----,D0.5
25.68,9.24,1.19,0.19,2.75,0.25,,31.13,11.77,----,----,
25.01,8.97,1.37,0.21,3.16,0.28,,29.96,11.20,----,----,D0.5 D0.5
23.76,8.44,1.54,o .24,3.56,0.31,,28.06,10.26,----,----,D0.5
20.60,7.17,2.16,0.33,4.99,0.42,,22.93,7.95,----,----,D0.5
19.72,6.84,2.47,o .37,5.71,0.47,,21.27,7.28,----,----,A
18.71,6.43,2.55,0.38,5.89,0.48,,19.83,6.67,----,----,A
15.79,5.30,2.59,0.38,5.98,0.46,,16.00,5.12,----,----,A
14.71,4.02,3.05,0.45,7.05,0.54,,13.83,4.37,----,----,A
13.71,4.62,4.18,o .61,9.66,0.73,,10.62,3.33,----,----,A
13.28,4.58,7.41,1.11,17.13,1.33,,4.61,1.47,----,----,A
15.91,5.84,11.02,1.76,25.48,2.13,,1.90,0.65,----,----,A
17.15,6.46,12.24,2.01,28.30,2.45,,1.44,0.51,----,----,A + D8
17.29,6.65,12.71,2.13,29.39,2.56,,0.82,0.29,----,----,DB
17.79,6.80,13.01,2.17,30.08,2.65,,0.96,0.35,----,----,D8
19.20,7.70,15.94,2.79,33.91,3.21,,----,----,1.79,0.28,D8
21.73,9.10,20.63,3.95,38.38,4.17,,----,----,5.60,1.02,oe
22.13,9.75,21.04,4.05,39.09,4.31,,----,----,5.74,1.06,D8
22.48,10.05,21.65,4.21,39.70,4.47,,----,----,6.22,1.17,D8
22.62,10.18,22.06,4.33,39.95,4.55,,----,----,6.63,1.26,D 8  + B2
22.12,9.90,21.85,4.25,39.07,4.40,,----,----,6.87,1.29,B2
20.86,9.56,21.82,4.16,36.84,4.08,,----,----,8.16,1.51,B2
20.68,9.48,21.99,4.19,36.52,4.05,,----,----,8.58,1.59,B2
19.26,8.34,22.11,4.17,34.02,3.71,,----,----,10.24,1.87,B2
19.69,8.93,25.13,4.97,34.78,4.13,,----,----,13.96,2.78,B2
19.95,9.31,27.09,5.52,35.23,4.43,,----,----,16.39,3.45,B2
20.58,10.14,30.32,6.52,36.35,5.09,,----,----,20.19,4.74,B2
21.38,10.96,32.29,7.23,37.76,5.72,,----,----,22.07,5.60,B2
21.55,11.18,32.90,7.45,38.06,5.91,,----,----,22.73,5.91,B2
21.81,11.44,33.43,7.66,38.52,6.13,,----,----,23.19,6.18,B2 + G
21.7921.79,11.4511.45,33.5333.60,7.707.71,38.4838.48,6.146.16,,---- ----,--------,23.3523.44,6.246.28,G
21.66,11.39,33.69,7.74,38.26,6.12,,----,----,23.70,6.36,G
21.37,11.35,34.52,8.01,37.74,6.20,,----,----,25.16,6.92,G
21.30,11.31,34.67,8.05,37.62,6.20,,----,----,25.44,7.02,G
20.93,11.33,36.17,8.55,36.97,6.41,,----,----,27.90,8.10,G
21.02,11.53,36.78,8.81,37.12,6.61,,----,----,28.64,8.54,G
20.79,11.49,37.52,9.06,36.72,6.70,,----,----,29.91,9.14,G
20.74,11.61,38.20,9.32,36.63,6.87,,----,----,30.90,9.71,G + C
18.92,10.07,36.76,8.55,33.42,5.69,,----,----,30.83,8.80,C
17.50,9.09,36.21,8.20,30.91,5.01,,----,----,31.56,8.58,C
17.16,8.86,36.16,8.15,30.31,4.88,,----,----,31.85,8.59,C
16.8316.1115.08,8.658.047.77,36.1336.8937.72,8.098.498.04,29.7228.4526.63,4.754.614.36,,---- ---- ----,-------- ----,32.1633.9736.20,8.619.229.94,C C C
13.5412.41,7.126.72,40.2943.02,9.2710.18,23.9121.92,4.194.20,,--------,---- -··--,41.3746.33,12.1614.89,C C
