Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I
,2.14,2.28,,,0.47,6.23,---,0.52
,2.14,2.44,,,0.55,7.21,---,0.52
,2.14,2.35,,,0.66,8.53,---,0.51
,2.16,2.33,,,0.67,8.64,---,0.58
,2.18,2.55,,,0.38,5.09,---,0.68
,2.19,2.58,,,0.43,5.72,---,o .71
,2.46,2.82,,,0.25,3.37,---,1.74
,2.89,2.75,,,0.14,1.89,---,3.37
,,,temp,=,597  K,,,
,1.48,1.71,,,2.08,11.37,8.49,---
',1.551.56,1.791.66,,,o .703.63,5.0419.99,2.8410.83,------
,1.63,1.70,,,3.86,23.27,9.42,---
,1.71,1.90,,,0.38,3.66,1.03,---
,1.89,2.03,,,0.28,3.41,0.29,---
,1.93,2.16,,,0.33,4.17,0.22,---
,1.97,2.01,,,0.34,4.47,0.10,---
,1.97,2.14,,,0.19,2.55,0.05,---
,"1.982,.08",2.272.29,,,0.260.24,3.493.29,0--. -0-5,---0.31
,2.13,2.37,,,0.26,3.55,----,0.50
,2.14,2.54,,,0.17,2.35,----,0.54
,2.15,2.44,,,0.20,2.75,----,0.58
,2.17,2.48,,,0.19,2.61,----,0.66
,2.32,2.42,,,0.07,0.97,----,1.25
,2.54,2.76,,,0.11,1.51,----,2.08
,3.04,2.74,,,0.08,1.08,----,3.95
,3.28,2.72,,,0.06,0.80,----,4.83
