T/K,mass%,,ref .,init/fina1T/K,,mass%,ref.,init/final
,,,,NaH/04 · 2H20,,,,
263.3,32.4,,5,1 / 1298.2,,48.97,1,1 /1
263.3,30.4,,10,1 /0298.2,,48.62,2,2/2
266.2,33.6,,10,1/1298.2,,48.69,9,1 /1
268.2,35.4,,12,1 /0298.2,,48.03,8,1 /0
268.9,34.6,,10,1 /1298.2,,48.47,11,1 /0
273.2,36.1,,1,1/0299.2,,49.16,2,1 /1
273.2,36.4,,5,1/1299.2,,49.17,2,1/ 1
273.2,36.25,',11,1 /1300.2,,49.80,2,2/2
273.2,37.6,,12,1/0301.2,,50.43,2,1 /1
273.3,36.64,,2,1/ 1301.2,,50.41,2,1 / 1
274.2,37.13,,2,1 /1303.2,,51.55,2,1 /1
274.2,37.15,,2,1 /1303.2,,51.57,2,1 / 1
276.2,38.06,,2,1 / 1303.2,,51.2,5,1/1
276.2,38.08,,2,1 /1306.2,,52.15,2,1 /1
278.2,38.95,,2,1/ 1306.2,,52.12,2,1 / 1
278.2,38.96,,2,1 / 1307.2,,53.93,2,1/1
283.2,41.12,,2,1/1307.2,,53.96,2,1/1
283.2,41.14,,2,1/ 1308.2,,54.63,2,1 / 1
283.2,40.5,,5,1 /0308.2,,54.64,2,1 /1
283.2,42.2,,12,1/0308.2,,54.79,3,1 /1
288.2,43.42,,2,1/ 1308.7,,53.65,1,1/0
288.2,43.41,,2,1/1313.2,,56.41,1,1 /0
293.2,46.01,,2,1 /1313.2,,58.02,2,1 /0
293.2,46.00,,2,1 /1313.2,,58.00,2,1/0
293.2,45.30,,5,1 /0313.2,,56.31,7,1/0
293.2,46.60,,12,1/0,,,,
,,,,"NaH/004,H 2",,,,
314.2,58.76,,2,1/1323.2,,61.16,6,1/0
314.2,58.78,,2,1 /1323.2,,60.58,8,1/0
315.2,58.98,,2,1 /1325.2,,62.11,2,1/1
315.2,58.99,,2,1 / 1325.2,,62.09,2,1/0
317.2,57.97,,1,1/0328.2,,63.85,1,1 /0
318.2,59.71,,2,2/2328.2,,63.09,2,1/1
323.2,61.81,,1,1 /1328.2,,63.07,2,1 / 1
323.2,61.32,,2,1 /1329.2,,63.41,2,1 /1
323.2,61.34,,2,1/1329.2,,63.39,2,1 /1
,,,,NaH2Po4,,,,
331.2,65.53,,1,1 /0338.2,,65.89,1,1 /0
331.2,63.94,,2,1/0342.2,,65.54,2,1/1
331.2,63.92,,2,1/0342.2,,65.55,2,1/ 1
333.2,64.20,,2,2/2343.2,,66.25,1,1/0
334.2,65.77,,1,1 /0348.2,,67.21,1,1/0
335.2,64.44,,2,1/ 1348.2,,66.57,11,1/1
335.2,64.48,,2,1 /1353.2,,67.44,2,1 /0
338.2,64.92,,2,1/ 1353.2,,67.48,2,1/ 1
338.2,64.90,,2,1 / 1356.2,,69.13,1,1 /1
