t/ 0 c,,mean,C1mass%,mol/ kgCl
0.10,57.84,57.86,36.64,4.82
,57.87,,36.66,4.82
1.00,59.1,59.08,37.15,4.92
,59.06,,37.13,4.92
3.00,61.45,61.47,38.06,5.12
,61.49,,38.08,5.12
5.00,63.8,63.82,38.95,5.32
,63.84,,38.96,5.32
10.00,69.85,69.87,41.12,5.82
,69.89,,41.14,5.82
15.00,76.74,76.72,43.42,6.39
,76.7,,43.41,6.39
20.00,85.23,85.21,46.01,7.10
,85.18,,46.00,7.08
25.00,94.62,94.63,48.62,7.88
,94.63,,48.62,7.88
26.00,96.7,96.73,49.16,8.06
,96.75,,49.17,8.06
27.00,99.2,99.20,49.80,8.26
,99.19,,49.80,8.26
28.00,101.75,101.71,50.43,8.48
,101.67,,50.41,8.47
