mass%,C,,a mol/kg,,mass%,mol/ kg,a,,mass%,C,,solidphase b,C,C,
,,,,,"temp .,.","+10° C,",,,,,,,,,
21.8,100.0,,2.42,,,,,,78.2,2288,,,,,B
20.5,77.6,,2.43,,6.222.4,0.70,,,73.3,1766,,,,,II
18.0,59.7,,2.26,,12.740.3,1.53,,,69.3,1470,,,,,II
16.1,46.4,,2.16,,19.453.6,2.51,,,64. S,1196,,,,,II
12.7,30.5,,1.93,,30.269. s,4.41,,,57.1,875,,,,,II
11.5,26.0,,1.84,,34.174.0,5.22,,,54.4,788,,,,,II
11.1,24.6,,1.81,,35.575.4,5.54,,,53.4,757,,B +,,,C
6.2,14.6,,0.96,,38.085.4,5.67,,,55.8,838,,,,,C
3.0,7.3,,0.45,,39.592.7,5.72,,,57.5,900,,,,,II
,,,,,40.5100.0,5.67,,,59.5,961,,,,,II
,,,,,temp . ..,+20 ° C,,,,,,,,,
25.9,100.0,,3.04,,,,,,74.1,1824,,,,,B
24.2,81.4,,3.00,,5.718.6,0.68,,,70.1,1508,,,,,II
21.4,64.9,,2.80,,12.135.1,1.52,,,66.5,1293,,,,,
19.5,51.8,,2.75,,18.948.2,2.56,,,61.6,1048,,,,,II
15.8,36.1,,2.50,,29.263.9,4.42,,,55.0,806,,,,,II
14. S,31.5,,2.40,,32.968.5,5.21,,,52.6,730,,,,,II
13.4,27.6,,2.33,,36.772.4,6.13,,,49.9,658,,,,,II
12.4,24.9,,2.22,,39.175.1,6.72,,,48. S,621,,B +,,,C
5.7,12.2,,0.96,,42.987.8,6.95,,,51.4,701,,,,,C
2.8,6.2,,0.45,,44.293.8,6.95,,,53.0,750,,,,,II
,,,,,45.3100.0,6.90,,,54.7,789,,,,,II
,,,,,temp . =,+30 ° c,,,,,,,,,
30.2,100.0,,3.76,,,,,,69.8,1477,,,,,B
28.0,84.0,,3.66,,5.516.0,0.70,,,66. S,1278,,,,,II
26.10,73.6,,3.54,,9.7726.4,1.27,,,64.13,1156,,,,,II
25.2,69.5,,3.46,,11.530.5,1.51,,,63.3,1116,,,,,II
23.0,56.9,,3.40,,18.243.1,2.58,,,58.8,930,,,,,II
20.0,45.6,,3.16,,24.9754.4,3.78,,,55.03,802,,,,,II
18.6,40.7,,3.04,,28.259.3,4.42,,,53.2,745,,,,,II
17.3,36.1,,2.96,,31.963.9,5.23,,,s0.a,678,,,,,II
16.2,32.3,,2.91,,35.467.7,6.09,,,48.4,617,,,,,II
15.78,31.6,,2.82,,35.6268.4,6.11,,,48.60,622,,,,,II
13.30,24.9,,2.58,,41.8975.1,7.79,,,44.81,536,,B +,,,C
13.20,24.9,,2.54,,41.6075.1,7.67,,,45.20,544,,,,,II
9.55,18.5,,1.78,,43.7581.5,7.80,,,46.70,580,,,,,C
6.26,12.3,,1.15,,46.5087.7,8.20,,,47.24,594,,,,,II
5.2,10.2,,0.96,,47.889.8,8.47,,,47.0,588,,,,,II
3.42,6.8,,0.62,,48.5593.2,8.42,,,48.03,615,,,,,II
2.5,5.0,,0.45,,49.095.0,8.42,,,48.5,627,,,,,II
,,,,,51.2100.0,8.74,,,48.8,628,,,,,II
