mass%,mol/ kga,a mass% mol/kga,t1,°,c,mass%,mol/kg,,mass%,mol/kg a,,t/ 0 c
8.2,1.39,42.710.23,35.3,,,5.8,o .75,,29.9,5.47,,-17.4
7.5,1.17,39.18.61,17.8,,,5.4,0.68,,"28,l",4.97,,-16.0
7.2,1.08,37.57.98,9.8,,,4.1,o .46,,21.5,3.40,,-10.9
6.9,1.01,36.07.42,1.4,,,3.3,0.35,,17.4,2.58,,-8.4
6.8,0.98,35.27.14,-2.3,,,2.8,0.28,,14.6,2.08,,-6.9
6.6,0.93,34.46.86,-6.0,,,2.4,0.24,,12.6,1.74,,- 6.0
6.5,0.90,33.66.61,-9.7,,,1.9,0.18,,9.9,1.32,,-4. S
6.3,0.86,32.96.37,-13.6,,,1.6,0.15,,8.0,1.04,,-3.8
6.2,0.84,32.06.09,-15.8,,,1.3,0.12,,6.9,0.89,,-3.0
6.0,o .79,30.95.76,-18.2,,,,,,,,,
,,,S ect ion,,,II I,,,,,,
10.6,1.81,40.69.79,34.3,,,8.0,1.08,,30.4,5.80,,-16.4
10.2,1.67,38.88.95,24.7,,,5.8,0.67,,22.3,3.65,,-12.2
9.8,1.54,37.28.26,16.3,,,4.7,0.51,,17.8,2.70,,-9.1
9.4,1.43,35.77.65,9.2,,,3.9,0.40,,14.8,2.14,,-7.4
9.0,1.32,34.37.12,0.8,,,3.3,0.33,,12.7,1.78,,-6.3
8.7,1.24,33.16.69,-6.0,,,2.9,0.28,,11.1,1.52,,-5.4
8.4,1.17,31.96.29,-11.2,,,2.3,0.22,,8.9,1.18,,-4.3
8.2,1.13,31.46.12,-13.2,,,1.9,0.17,,7.4,0.96,,-3. S
8.1,1.11,31.05.99,-15.2,,,,,,,,,
,,,S ect ion,,,IV,,,,,,
12.7,2.12,37.58.86,27.7,,,9.0,1.16,,26.6,4.86,,-18.0
12.1,1.94,35.88.08,19.0,,,8.5,1.06,,25.0,4.42,,-16.4
11.6,1.79,34.37.46,11.1,,,8.0,0.97,,23.6,4.06,,-14.0
11.1,1.65,32.96.91,3.5,,,6.2,0.68,,18.3,2.85,,- 10.1
10.7,1.56,32.26.63,0.4,,,5.0,0.52,,14.9,2.19,,-8.1
10.2,1.42,30.25.96,-5.3,,,4.3,0.43,,12.6,1.78,,-6.5
10.0,1.38,29.65.77,- 7.2,,,3.3,0.32,,9.6,1.30,,-4.9
9.7,1.31,28.55.42,-13.0,,,,,,,,,
,,,S ec t ion,,,V,,,,,,
16.5,2.83,34.98.45,30.7,,,12.3,1.66,,25.9,4.93,,-9.8
16.1,2.69,34.08.02,26.5,,,11.6,1.51,,24.4,4.48,,- 14.3
15.9,2.62,33.57.79,22.7,,,11.3,1.45,,23.7,4.29,,-16.8
15.8,2.58,33.27.66,20.7,,,11.0,1.39,,23.1,4.12,,- 16.0
15.5,2.49,32.77.43,18.0,,,10.4,1.28,,21.9,3.80,,-14.5
15.3,2.43,32.37.25,15.5,,,9.9,1.19,,20.9,3.55,,-13.5
14.8,2.29,31.36.83,13.2,,,9.4,1.11,,19.9,3.31,,- 12.6
14.5,2.20,30.56.52,10.6,,,8.6,0.98,,18.2,2.92,,-11.2
14.0,2.07,29.66.17,8.0,,,7.1,0.76,,15.0,2.26,,-8.9
13.9,2.04,29.26.04,6.3,,,6.0,0.62,,12.8,1.85,,-7.3
13.5,1.94,28.45.75,3.7,,,5.3,0.53,,11.8,l.67,,-6.3
13.1,1.84,27.55.45,-1.1,,,4.2,0.40,,8.9,1.20,,-4.9
12.7,1.75,26.75.18,-4.8,,,3.5,0.33,,7.3,0.96,,-3.8
,,,S ect ion,,,VI,,,,,,
34.9,7.88,28.28.99,38.5,,,30.7,5.75,,24.8,6.56,,24.1
34.3,7.52,27.78.58,34.4,,,29.6,5.30,,23.9,6.05,,20.5
33.8,7.24,27.38.26,31.6,,,27.6,4.61,,22.5,5.30,,15.9
33.2,6.92,26.87.88,29.5,,,25.8,4.02,,20.8,4.58,,6.8
31.9,6.27,25.77.13,26.2,,,,,,,,,
