mass%,a mol/ kg,i,,mass% c mol/kg,a i,,mass%,M b,,solidphase,
,,,,temp .  ..,-9.9 °c .,,,,,,
----,----,---,,39.8,7.78100.0,,60.2,714,,,B
1.30,0.18,2.3,,38.99,7.6897.7,,59.71,707,,,II
3.8,0.53,6.9,,36.2,7.1093.1,,60.0,728,,"""",
6.01,0.85,10.8,,34.95,6.9689.2,,59.04,712,,,II
6.6,0.92,12.1,,33.7,6.6487.9,,59.7,736,,,II
8.5,1.20,15.7,,32.3,6.4284.3,,59.2,730,,,II
9.02,1.28,16.5,,32.37,6.5083.5,,58.61,714,,B +,C
8.8,1.24,16.3,,32.0,6.3683.7,,59.2,781,,,C
10.0,1.37,19.5,,29.3,5.6880.5,,60.7,789,,,II
10.43,1.46,19.8,,29.85,5.8880.2,,59.72,757,,,II
12.3,1.66,25.8,,25.8,4.9074.8,,61.9,848,,',
15.75,2.08,34.4,,21.3,3.9865.6,,62.95,916,,,
18.1,2.31,43.9,,16.6,2.9956.1,,65.3,1039,,,
20.74,2.62,52.4,,13.38,2.3947.6,,65.88,1108,,,
23.6,2.95,63.1,,9.8,1.7336.9,,66.6,1187,,,
24.1,3.00,65.3,,9.1,1.6034.7,,66.8,1205,,,
28.4,3.52,82.3,,4.3,o.7517.7,,67.3,1300,,,
32.4,3.99,100.0,,----,---- ----,,67.6,1391,,,
25.0,2.95,79.7,,4.5,0.7520.3,,70.5,1497,,,II
19.2,2.20,63.0,,8.0,1.2937.0,,72.8,1592,,,II
17.3,1.98,55.2,,10.0,1.6244.8,,72.7,1545,,"""",
13.3,1.48,43.8,,12.1,1.9156.2,,74.6,1639,,,II
7.9,0.87,25.1,,16.6,2.5974.9,,75.5,1607,,,II
6.0,0.66,19.5,,17.7,2.7380.5,,76.3,1639,,,II
5.0,0.55,15.8,,19.0,2.9484.2,,76.0,1592,,,II
3.9,0.43,12.1,,20.2,3.1387.9,,75.9,1562,,,II
2.3  ----,0--.2--5,"-6--,9-",,21.823.3,3.383.57100.093.1,,75.976.7,15311552,,II,II
