,,,,,,,,solid,
,,,a,,,b,a,c,
ion%,ion%,mass%,mol/kg,mas s%,mol/ kl,n,mass%,phase,
,,,,t emp . = 0° C .,,,,,
91.06,86.56,2.64,0.30,24.88,5.87,818.6,72.47,,A
76.31,64.51,8.32,0.99,22.11,5.44,658.7,69.55,A +,B
63.31,44.92,13.50,1.59,16.09,3.91,637.9,70.39,,B
50.76,26.47,19.97,2.39,10.50,2.58,568.9,69.52,,II
43.09,14.98,25.54,3.13,6.57,1.65,502.0,67.87,,II
,,,,t emp .25°a,C .,,,,
93.26,89.86,1.97,0.22,25.53,6.02,828.1,72.48,,A
89.73,84.52,3.30,0.39,26.34,6.40,732.8,70.35,,II
84.62,76.97,4.92,0.57,24.02,5.78,739.1,71.05,,II
74.50,61.37,9.40,1.13,21.81,5.42,628.1,68.77,,II
65.45,48.15,14.42,1.82,19.57,5.07,527.2,66.00,,II
52.67,28.95,24.99,3.46,14.87,4.23,379.8,60.12,A +,B
44.71,16.87,32.45,4.66,9.62,2.84,329.7,57.91,,B
39.75,9.65,38.46,5.77,6.00,1.84,289.9,55.53,,II
37.45,5.89,41.64,6.36,3.80,1.19,274.0,54.55,,II
