0,1,2,3,4,5
00,12.3,1.03,,87.7 C,
8.920.92,10.8,0.99,,80.280 I I,
17.982.06,10.1,1.03,,71.92 I I,
27.183.57,9.4,1.09,,63.42 I I,
37.65.02,0,0,,62.4  B,
37.85.27,2.488,0.31,,59.712 I I,
36.05.04,4.48,0.55,,52.52 I I,
32.14.33,6.111,0.73,,61.79 I I,
,"temp,=",10 ° c,,,
00,"15,2",1.32,,84.8  C,
8.720.93,12.8,1.20,,78.48 I I,
"17.62,08",12.0,1.25,,70.4  I I,
26.73.57,11.0,1.30,,62.3  I I,
32.8684.69,8.7,1.09,,58.432 I I,
"42.26,08",0,0,,57.8 B,
34.0564.69,5.4,0.66,,60.544 II,
41.06.03,"2,36",0.31,,56.64 I I,
39.45.82,4.242,0.55,,56.358 II,
35.24.97,5.832,0.73,,58.97 I I,
,temp .,..20 °c,,,
00,18.0,1.61,,82.0 C,
8.50.92,15.0,1.44,,76.5  I I,
17.242.08,13.8,1.47,,68.96  I I,
26.253.57,12.5,1.50,,61.25  I I,
32.44.69,10.1,1.29,,57.6  I I,
46.67.27,0,0,,53.4 B,
44.06.82,2.24,0.31,,53.760 I I,
42.46.59,4.032,0.55,,53.568 I I,
38.25.66,5.562,0.73,,56.238 I I,
Crystallization temperatures,and composition of,,,solutions existi,
equilibrium with two or,three solid,phases .,,,
NaHl04,KHl04,,,H20 solid,
:tt • c mass% mol/kg a.,mass%,mol/kg,a.,b mass% phase,
-2.50 0,11.6,0.96,,88.4 A + C,
-4.29.00.92,10.0,0.91,,81.0  A + C,
-6.518.22.08,9.0,0.91,,72.8 A +  C,
-9.627.63.57,8.0,0.91,,64.4 A +  B +,C
-a . a 33.54.20,0,0,,66.5 A + B,
-10.134.64.59,2.616,0.31,,62.784 A + B,
-10.532.84.37,4.704,0.55,,62.49 6  A + B,
"-10.129.23,78",6.372,0.73,,64.428 A + B,
7.632.9404.69,8.5,1.07,,58.560 B + C,
14.63 6.85.55,8.0,1.06,,55.2 B + C,
24.841.46.82,8.0,1.16,,50.6 B + C,
33.045.58.33,9.0,1.45,,45.5  B + C +,D
40.256.010.60,0,0,,44.0 B + D,
"47.052.09,40",1.92,0.31,,46.08 B + D,
s0.a 52.09.70,3.36,"0,55",,44.64 B + D,
"52.849.08,80",4.59,0.73,,46.41 B + D,
"19,248.58.98",6.5,1.06,,45. Q  B + D,
