Text Data,Text Data,Text Data,Text Data,Text Data,Text Data,Text Data,Temperature (°C),Numeric Data,Temperature (°C),Temperature (°C),Phase
----,----,---,---,26.23,6.08,109.41,73.77,914.0,1.695,1.199,
5.94,o .71,12.80,10.59,24.49,6.01,108.08,69.61,827.3,2.547,1.231,II
11.46,1.42,25.72,20.46,21.72,5.56,99.98,66.82,795.5,2.724,1.256,II
23.55,3.21,57.79,42.81,15.34,4.29,77.19,61.11,740.8,4.846,1.324,II
23.64,3.22,58.03,43.04,15.25,4.27,76.80,61.11,741.69,5.39,1.331,B
26.00,3.59,64.76,47.94,13.77,3.91,70.32,60.23,740.31,6.574,1.35,II
27.59,3.87,69.81,49.08,13.13,3.79,68.12,59.28,739.57,6.195,1.34,C
31.53,4.51,81.19,60.03,10.23,3.00,54.04,58.24,739.37,6.959,1.352,II
39.40,5.84,105.18,81.39,4.39,1.33,24.05,56.21,773.78,11.35,1.397,II
48.03,7.70,138.63,100.0,----,----,----,51.97,721.35,24.4,1.446,II
