Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K,Column_L
----,----,---,---,26.99,6.32113.75,,73.01,879.091.502,,1.202,A
7.34,0.88,15.91,13.20,23.52,5.82104.68,,69.14,829.072.589,,1.248,II
13.84,1.76,31.77,24.46,20.83,5.4598.12,,65.33,769.463.169,,1.273,II
19.43,2.59,46.74,34.19,18.22,5.0089.96,,62.35,731.433.064,,1.311,II
23.07,3.18,57.29,40.49,16.53,4.6884.22,,60.4,706.673.094,,1.328,II
27.82,3.99,72.00,48.80,14.23,4.2075.54,,57.95,677.774.117,,1.452,II
36.16,5.69,102.52,61.70,10.94,3.5363.63,,52.9,601.867.597,,1.709,II
45.82,8.01,144.30,77.37,6.54,2.3442.21,,47.64,536.18 ----,,1.921,II
47.78,8.67,156.08,78.68,6.31,2.3542.30,,45.91,504.0812.734,,1.951,D
52.25,9.97,179.53,88.15,4.09,1.6028.85,,43.66,479.8817.800,,1.559,II
53.54,10.35,185.71,88.48,3.39,1.3424.17,,43.07,479.45 ----,,1.606,E
54.05,10.45,188.18,90.19,2.87,1.1320.47,,43.08,479.2818.263,,1.471,II
60.58,12.80,230.58,100.0,----,---- ----,,39.42,433.6923.159,,1.718,II
