Temperature (°C),Temperature (°C),Text Data,Temperature (°C),Numeric Data,Text Data,Text Data,Text Data,Phase,Phase,Phase,Phase,Phase
24.0,32.71,19.59,70.64,957.9,,,,,,,,C
25.0,19.41,38.81,41.78,898.7,,,,,,,,II
26.0,13.54,51.95,22.06,747.5,,,,,,,,II
27.0,15.15,30.32,54.53,744.2,,,,,,,,II
28.0,19.08,17.44,73.43,730.6,,,,,,,,II
29.0,3.73,38.51,42.49,598.9,,,,,,,,D
,,temp .,"""' 25°",,,,,,C,,,
30.0,24.6,16.74,74.89,606.1,,+,B +,C,,A,,
31.0,6.38,51.88,22.23,303.6,B + C +,,,,,D,,
32.0,28.23,3.83,94.26,725.3,,,+,,,,A,B
33.0,27.31,7.19,89.20,695.2,,,,,,,,II
34.0,26.56,9.65,85.45,673.3,,,,,,,,II
35.0,25.35,14.52,78.25,627.5,,,,,,,,II
36.0,75.84,12.85,80.73,926.9,,,+,,,,A,C
37.0,69.29,13.28,80.06,889.8,,,,,,,,II
38.0,50.79,13.76,79.30,800.4,,,,,,,,II
39.0,35.16,15.12,77.42,696.8,,,,,,,,II
40.0,5.57,58.93,11.62,258.7,,C +,,,,,D,
41.0,1.48,48.48,27.67,366.2,,,+,,,,B,D
42.0,14.45,28.90,56.65,523.5,,B +,,,,,,C
43.0,10.39,38.49,42.47,443.1,,,,,,,,II
44.0,6.33,51.79,22.57,308.0,,,,,,,,II
45.0,71.18,5.34,92.02,1002.0,,,,,,,,A
46.0,58.43,6.82,89.82,896.0,,,,,,,,II
47.0,39.7,7.00,89.55,791.0,,,,,,,,II
48.0,4.31,8.61,87.08,794.0,,,,,,,,B
49.0,10.27,20.55,69.18,638.5,,,,,,,,II
50.0,5.07,40.42,39.41,443.4,,,,,,,,II
51.0,57.9,34.84,47.68,1149.0,,,,,,,,C
52.0,57.29,24.78,62.81,1015.0,,,,,,,,II
53.0,45.76,34.22,48.71,987.7,,,,,,,,II
54.0,35.72,42.47,36.46,913.9,,,,,,,,II
55.0,29.73,59.45,10.82,881.5,,,,,,,,II
56.0,33.8,31.30,53.20,823.1,,,,,,,,II
57.0,39.91,21.71,67.44,806.1,,,,,,,,
58.0,26.63,52.67,21.00,786.4,,,,,,,,
59.0,23.27,46.55,30.18,713.0,,,,,,,,
60.0,19.87,39.75,40.48,639.4,,,,,,,,
61.0,16.28,32.57,51.15,564.3,,,,,,,,
62.0,12.17,51.63,22.43,466.5,,,,,,,,
63.0,6.39,59.08,11.62,283.7,,,,,,,,
64.0,2.76,56.71,14.89,296.5,,,,,,,,
,,"t emp,",• 50°,,,,,,C,,,
65.0,29.62,21.36,68.07,518.5,,+,B +,,,A,,C
66.0,5.01,64.08,3.86,131.9,B + C +,,,,,E,,
67.0,37.76,0,100,702.8,,,+,,,,A,B
68.0,33.65,9.72,85.34,621.1,,,,,,,,II
69.0,19.84,32.95,50.70,444.0,,B +,,,,,C,
70.0,12.81,45.67,31.63,336.0,,,,,,,,II
71.0,6.15,62.03,1.00,162.0,,,,,,,,II
72.0,5.1,64.00,3.89,133.2,,,,,,,,II
