Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C)
102,2.55,0.96,9.19,5.97,13.7,5.75,7.6,1.17,66.98
103,2.46,1.0,9.31,6.4,11.79,5.24,13.18,2.15,63.26
104,2.5,1.17,9.62,7.64,7.9,4.06,25.2,4.74,54.77
105,2.47,1.27,9.89,8.65,5.74,3.25,32.15,6.66,49.74
106,2.57,1.49,10.26,10.1,3.89,2.48,39.07,9.11,44.2
107,2.66,1.65,10.5,11.09,2.98,2.04,42.66,10.67,41.2
108,2.88,1.91,10.64,11.98,2.48,1.81,45.37,12.11,38.63
109,3.0,2.11,10.89,13.02,2.1,1.62,47.63,13.5,36.38
110,4.4,3.66,10.86,15.34,1.7,1.55,52.25,17.5,30.78
111,6.06,6.57,11.05,20.38,1.36,1.62,57.94,25.32,23.59
112,2.59,1.53,10.32,10.4,3.45,2.25,40.51,9.68,43.14
113,2.92,2.03,10.88,12.88,2.11,1.62,47.35,13.29,36.74
