0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
25.01,3.48,15.13,4.33,,,,,"100,0",44.63,,A,+  B,,
24.74,3.63,13.97,4.21,4.55,0.70,,,91.75,50.72,,,I I,,
23.26,3.51,"12,90","4,00",8.59,1.35,,,"84,69","54,90",,,I I,,
24.19,3.85,11.01,3.60,12.40,2.06,,,78.31,62.25,A,+,B +,,C
43.47,8.12,----,----,11.93,2.35,,,77.68,100.0,,B,+ C,,
38.32,7.25,4.54,1.76,13.11,2.59,,,77.69,84.72,,,I I,,
32.90,5.20,8.00,2.96,12.79,2.40,,,78.74,73.75,,,I I,,
30.54,5.37,9.33,3.37,12.78,2.35,,,78.86,69.71,,,I I,,
12.30,1.78,16.87,4.96,12.58,1.88,,,78.20,42.40,,A,+  C,,
----,----,20.85,"5,75",17.10,2.40,,,"70,77",29.23,,,I I,,
----,----,16.07,4.21,5.64,0.75,12.93,3.70,48.58,8.66,A,+,C +,,D
----,----,17.07,4.41,2.82,0.37,13.88,3.92,50.69,4.34,,A,+  D,,
----,----,"17,15",4.40,,,16.14,4.52,49.24,----,,,I I,,
----,----,8.68,2.18,4.48,0.57,18.75,5.15,"27,55",7.26,,C,+ D,,
----,----,"5,89",1.48,5 • .L5,0.66,21.11,5.82,!8. b7,8.32,,,I I,,
----,----,1.59,0.39,5.60,0.70,22.91,6.13,5.36,9.72,,,I I,,
