,,+ K,N03 H20,,,solid b,
soln .,no .,ion%,ion% cone . a,,,phases,
,,,temp. = 323 K,,,,
24,,0.00,38.43373.1,,,B +,E
25,,5.59,40.89318.0,,,,II
26,,11.35,41.33291.7,,,,II
,,,"temp,• 348 K",,,,
27,,100.00,95.31373.4,,,A +,C
28,,85.49,94.68302.1,,,"""",
29,,74.33,94.36271.4,,,"""",
30,,64.73,94.37227.0,,,"""",
31,,55.08,94.30193.5,,,"""",
32,,46.39,94.17165.3,,,"""",
33,,47.01,100.0149.0,,,A +,B
34,,46.13,96.73148.0,,,,II
35,,44.62,94.04147.4,,A,+ B +,C
36,,42.98,92.94156.2,,,B +,C
37,,40.83,90.53178.0,,,,
38,,36.91,85.19192.5,,,,
39,,34.44,82.00201.4,,,,
40,,31.00,75.19206.2,,,,
41,,25.11,64.30211.7,,,,
42,,21.83,55.68219.8,,,,
43,,20.91,47.29226.3,,,,
44,,29.06,40.92234.0,,B,+ +,D
45,,20.05,38.47243.5,,,C +,D
46,,21.31,29.19258.7,,,,II
47,,21.28,19.44266.0,,,,II
48,,21.70,11.09276.4,,,"""",
49,,20.52,0.00289.1,,,"""",
50,,0.oo,51.14267.2,,,B +,D
51,,5.31,50.00256.0,,,,II
52,,11.15,45.96247.3,,,,II
53,,15.31,44.96239.5,,,"""",
,,,"temp,• 373 K",,,,
54,,100.00,97.08245.0,,,A +,C
55,,99.68,97.08213.2,,,,II
56,,83.91,96.83191.7,,,,II
57,,70.53,95.35176.3,,,,II
58,,60.85,95.18142.8,,,,II
59,,52.95,95.03113.5,,,"""",
60,,51.90,100.095.7,,,A +,B
61,,51.32,97.7593.0,,,,II
62,,50.35,94.9792.4,,A,+ B +,C
63,,49.02,91.2494.6,,,B +,C
64,,47.52,82.85112.5,,,,
65,,45.01,74.71117.8,,,,
66,,42.46,63.76130.0,,,,
67,,36.87,54.88139.5,,,,
68,,33.82,47.00147.0,,,,
69,,31.22,44.73156.3,,,,
70,,29.53,42.27161.5,,B +,+,D
71,,29.01,38.09164.0,,,C +,D
72,,28.03,34.04176.2,,,"""",
73,,25.78,28.26181.4,,,"""",
74,,23.45,18.88189.0,,,"""",
75,,25.43,5.30196.1,,,,II
76,,25.44,0.oo 205.0,,,,II
