Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Temperature (°C)
-0.47,1.45,1.43,0.10,98.57
6.0,2.73,2.66,0.19,97.34
19.95,7.26,6.77,0.51,93.23
22.77,8.93,8.2,0.63,91.8
24.15,9.53,8.7,0.67,91.3
25.75,10.9,9.83,o .77,90.17
27.8,14.16,12.4,1.00,87.6
28.65,15.87,13.7,1.12,86.3
29.05,16.04,13.82,1.13,86.18
29.5,17.18,14.66,1.21,85.34
30.1,19.45,16.28,1.37,83.72
30.9,20.08,16.72,1.41,83.28
32.5,22.57,18.41,1.59,81.57
33.7,24.63,19.76,1.73,80.24
34.7,29.75,22.93,2.09,77.07
36.5,31.15,23.75,2.19,76.25
40.02,35.56,26.23,2.50,73.76
