Text Data,Text Data,Text Data,Text Data,Text Data,Phase,Text Data,Phase
----,----,10.32,0.81,89.68,,A,
4.25,0.34,8.90,0.72,86.85,,II,
7.79,0.65,7.99,0.67,84.22,,II,
9.82,0.84,7.52,0.64,82.66,,II,
12.77,1.12,7.38,0.65,74.85,,II,
15.02,1.37,7.62,0.69,77.36,A,+,B
15.20,1.38,7.38,0.67,77.43,,II,
15.03,1.37,7.62,0.69,77.35,,II,
15.06,1.37,7.48,0.68,77.46,,II,
15.06,1.37,7.44,0.68,77.50,,II,
15.04,1.37,7.45,0.68,77.51,,II,
15.04,1.37,7.54,0.68,77.42,,t i,
16.27,1.47,5.92,0.54,77.81,,B,
17.83,1.61,4.14,0.37,78.03,,II,
19.1921.98,1.731.98,2--. -70-,0.24 ----,78.1178.02,,II  II,
