Temperature (°C),Temperature (°C),Text Data,Temperature (°C),Text Data,Empty_5,Phase
1.6,0.11,---- ----,98.4,,,
4.0,0.32,9.23.12,86.8,I t,,
11.0,1.21,2 II  0.08.52,69.0,,,
12.2,1.28,20.89.12,67.0,II,,
23.6,3.29,26.015.16,50.4,II,,
24.0,3.38,26.115.37,49.9,II,,
27.3,4.15,26.416.76,46.3,I t,,
42.2,9.64,27.025.77,30.8,A +,,B
40.9,9.05,27.325.23,31.8,B,,
38.7,8.95,30.929.88,30.4,I t,,
37.5,8.79,32.531.84,30.0,II,,
35.4,9.47,38.342.81,26.3,II,,
35.3,11.04,42.255.13,22.5,II,,
32.9,10.06,44.156.36,23.0,II,,
26.9,9.86,53.982.52,19.2,C,,
26.7,14.23,60.1133.8,13.2,II,,
29.1,46.5,66.5444,4.4,II,,
