0,1,2,3,4,5,6,7,8,9,10,11
25,,"6.3412,76",26.05,,"87,24",1089.1,,,A +,,
26 1.39,2.44,"5,7410,06",29.87,,87.50,87 1.5,,,. .D,,
"273,19",5.25,5.058.52,30.88,,86.23,803.0,,,. .,,
"284,22",6.94,4.46 7.31,31.20,,85.72,780.0,,,I I,,
294.99,7.96,"3.76  6,01",32.35,,86.03,742.0,A,,+ C +,,D
This should be :,mol/ 100 mo1of,solu te--comp i1er .,,,,,,,,,
The solid phases are :  A,,= Na2HP04 · 12H20;,B • Na2S04 • lOH20 ;,,,,,,,,
C c NaN03 · Na2so4 · H2,,; D = NaNo3.,,,,,,,,,
This is an obvious,error :,the compiler suggests,that,,the correc t,,phases are A,,,+,
.  The comp iler has,calculated,the f ollowing values,,from,the data,,in Part,,1.,,
soln .,Na2so,N4 a2HP04,NaN03,,H2o,,,,,,
no .,mo1/kg,mo1/kg,mol/kg,,mass%,,,,,,
1,,1.37 0.68,----,,77.41,,,,,,
2,,"1,300.64",0.44,,76.20,,,,,,
3,,1.250.64,0.71,,75.15,,,,,,
4,,"1.270,65",0.90,,74.10,,,,,,
5,,1.21 0.67,1.46,,71.90,,,,,,
6,,1.250.67,1.95,,"69,50",,,,,,
7,,1.260.68,2.50,,67.20,,,,,,
8,,1.180.65,3.18,,65.30,,,,,,
9,,1.120.67,3.80,,63.40,,,,,,
10,,"1.000,62",4.44,,62.20,,,,,,
11,,"0,75 0.52",5.27,,61.40,,,,,,
12,,0.600.47,5.72,,61.00,,,,,,
13,,"0,600,45",6.46,,58.90,,,,,,
14,,1.67 ----,4.16,,62.82,,,,,,
15,,1.550.14,3.97,,63.38,,,,,,
16,,1.560.30,3.81,,"62,92",,,,,,
17,,1.290.44,3.64,,64.31,,,,,,
18,,"1.220,59",3.33,,64.92,,,,,,
19,,1.210.61,3.27,,65.04,,,,,,
20,,"1,180.65",3.18,,"65,30",,,,,,
21,,"0,69 ----",10.05,,51.23,,,,,,
22,,"0,640,23",8.09,,"55,20",,,,,,
23,,"0,620.38",7.22,,56.94,,,,,,
2425,,"0--,6--00.450,66",6.464.53,,58.9067.61,,,,,,
26,,"0.160,64",5.58,,"63,00",,,,,,
27,,"0,370.58",5.97,,60.88,,,,,,
28,,"0,49 0.52",6.10,,60.12,,,,,,
29,,"0,600.45",6.46,,58.90,,,,,,
