:t.J •c,b g ( 1) /100 g (2) mass%,a,mol/kg,a,t ime/h
83,61.137.93,,3.72,,39
83,62.238.35,,3.79,,39
101,78.443.95,,4.78,,43
101,76.843.44,,4.68,,43
115,88.646.98,,5.40,,48
115,90.347.45,,5.50,,48
115,89.847.31,,5.47,,48
121,93.248.24,,5.68,,86
129,91.147.67,,5.55,,45
129,89.347.17,,5.44,,45
139,88.246.85,,5.37,,39
139,88.747.00,,5.40,,39
139,88.847.03,,5.41,,39
150,83.945.62,,5.11,,16
150,79.844.38,,4.86,,16
150,83.145.38,,5.06,,44
150,78.944.10,,4.81,,44
150,82.245.12,,5.01,,44
150,84.145.68,,5.12,,18
150,78.644.01,,4.79,,18
159,76.043.18,,4.63,,66
