,,,concn of,Na Po,,,,,,
t. /,,,,3,4.0,,,a,,b
,o c,,g ( 1) / 100 g ( 2 ),mass%,,a,mol/kg,,t ime/h,
169,,,71.9,41.83,,,4.38,,47,
169,,,70.2,41.24,,,4.28,,47,
185,,,66.2,39.83,,,4.03,,48,
185,,,65.0,39.39,,,3.96,,48,
187,,,63.1,38.69,,,3.84,,67,
187,,,62.0,38.27,,,3.78,,67,
204,,,62.0,38.27,,,3.78,,71,
204,,,60.8,37.81,,,3.70,,71,
214,,,s0.a,33.33,,,3.05,,90,
214,,,50.8,33.69,,,3.09,,90,
216,,,48.8,32.80,,,2.97,,65,
216,,,47.6,32.25,,,2.90,,65,
225,,,25.2,20.13,,,1.54,,15,
225,,,33.7,25.20,,,2.05,,15,
225,,,27.3,21.44,,,1.66,,18,
225,,,27.8,21.75,,,1.69,,18,
235,,,17.9,15.18,,,1.09,,17,
250,,,8.6,7.92,,,0.52,,17,
250,,,8.6,7.92,,,0.52,,17,
250,,,8.5,7.83,,,0.52,,17,
300,,,2.4,2.34,,,0.15,,18,
350,,,0.15,0.15,,,0.01,,19,
