Temperature (°C),Temperature (°C),Text Data,Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C)
3.1,2.35,0.21,41.5,28.7,2.93,68.95
6.1,4.56,o .41,40.6,27.67,2.88,67.76
9.0,6.63,0.61,39.8,26.75,2.83,66.62
11.9,8.64,0.50,39.1,25.89,2.78,65.47
15.4,10.97,1.04,38.4,24.97,2.74,64.06
21.4,14.77,1.46,37.2,23.46,2.67,61.77
30.5,20.14,2.08,34.6,20.96,2.5,58.9
40.6,25.57,2.77,31.2,18.16,2.27,56.27
51.7,30.97,3.51,27.3,15.25,2.0,53.78
57.4,33.56,3.87,24.9,13.66,1.82,52.78
60.8,35.2,4.06,21.8,11.94,1.59,52.86
65.9,37.28,4.38,20.2,10.85,1.47,51.86
70.9,39.33,4.67,17.7,9.38,1.29,51.29
69.7,39.36,4.50,13.5,7.37,0.97,53.27
67.4,38.65,4.33,12.6,7.0,0.9,54.35
69.4,40.08,4.35,6.6,3.75,0.47,56.17
70.7,41.02,4.36,2.9,1.67,0.2,57.31
74.9,42.58,4.60,1.8,1.02,0.13,56.4
76.5,42.9,4.73,3.3,1.84,0.23,55.27
80.0,44.04,4.94,3.0,1.64,0.21,54.32
79.8,44.26,4.88,0.9,0.5,0.06,55.24
