a mass% mol/kg a,,mass%,mol/ kg,,mass%,mass%,mass%,mass%
7.80.52,,----,----,,1.1,89.7,----,10.3
7.67.5  0.520.52,,3.05.3,0.24 o .43,,--0-. -06,86.985.0,12.115. Q,1.0 ----
7.3  0.52,,8.0,0.66,,----,82.8,17.2,----
7.60.55,,7.8,0.65,,----,82.7,17.3,----
6.80.48,,7.0,0.57,,----,79.2,20.8,----
6.80.48,,6.9,0.56,,----,77.6,22.4,----
7.30.52,,7.9,0.66,,----,76.2,23.8,----
6.7 0.50,,12.1,1.05,,----,75.2,24.8,----
5.70.43,,14.1,1.24,,----,74.9,25.1,----
6.30.s1,,18.2,1.70,,----,73.1,26.9,----
5.6 o .45,,19.4,1.82,,----,71.3,28.7,----
5.90.51,,23.6,2.36,,----,68.9,31.1,----
5.2 0.47,,26.9,2.79,,----,58.8,41.2,----
5.60.52,,28.4,3.03,,----,55.4,44.6,----
5.50.52,,30.4,3.34,,----,51.6,48.4,----
5.40.s1,,30.4,3.33,,----,20.1,79.9,----
3.30.30,,30.5,3.24,,----,1.0,99.0,----
1.60.14,,30.9,3.22,,----,0,100,----
