,a,,,a,,b
mass%,mol/kg,mass%,,mol/kg,,phase
,,"temp,",=,-20° c .,,
13.1,1.32,26.6,,12.97,60.3,A
13.1,1.34,27.5,,13.61,59.4,II
10.8,1.10,29.7,,14.67,59.5,II
10.4,1.07,30.4,,15.09,59.2,t i
7.5,0.86,39.3,,21.71,53.2,II
8.1,0.85,34.0,,17.26,57.9,II
6.7,0.83,44.0,,26.23,49.3,II
9.3,1.33,48.2,,33.34,42.5,""""
9.3,1.67,56.9,,49.48,33.8,B
9.3,1.93,60.1,,58.30,30.3,t i
12.3,3.45,66.0,,89.40,21.7,t i
,,"temp,",• o •c .,,,
5.1,0.33,0,,0,94.9,
3.7,0.24,1.5,,o .46,94.8,t i
4.3,0.28,3.6,,1.15,92.1,11
5.3,0.36,5.3,,1.74,89.4,t i
4.9,0.33,5.4,,1.77,89.7,C + D
3.6,0.24,6.9,,2.27,89.5,D
