Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Text Data,Text Data,Phase
4.9,0.35,10.7,3.73,84.4,,D,
7.3,0.58,15.4,5.86,77.3,,II,
10.9,0.91,16.5,6.68,72.6,,",,",
11.5,0.99,17.9,7.45,70.6,,,
9.4,0.8,19.2,7.9,71.4,,,
15.4,1.66,28.0,14.54,56.6,A,+,D
17.6,1.92,26.7,14.09,55.7,A,+,D
16.7,1.8,26.7,13.87,56.6,A +,,D
15.5,1.66,27.5,14.18,57. o,,A,
16.0,1.72,27.3,14.15,56.7,,II,
16.1,1.73,27.3,14.18,56.6,,II,
16.8,1.85,27.8,14.75,55.4,,II,
16.4,1.8,28.1,14.88,55.5,,II,
14.9,1.63,29.4,15.52,55.7,,II,
11.6,1.22,30.6,15.56,57.8,,II,
11.7,1.26,31.6,16.38,56.7,,II,
11.8,1.29,32.4,17.07,55.8,,II,
10.2,1.16,36.3,19.94,53.5,,II,
10.2,1.17,36.7,20.32,53.1,,II,
10.3,1.26,39.9,23.55,49.8,,II,
9.7,1.16,39.2,22.55,51.1,,II,
11.9,1.51,40.2,24.67,47.9,,II,
11.1,1.55,45.2,30.4,43.7,,B,
9.7,1.32,45.7,30.12,44.6,,II,
9.7,1.48,50.5,37.3,39.8,,II,
9.6,1.5,51.4,38.74,39.0,,II,
9.6,1.5,51.5,38.92,38.9,,II,
12.1,3.15,64.5,81.02,23.4,,".,",
