Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H
----,----,18.9,1.42,81.1,Na Po,,
----,----,19.3,1.46,80.7,3 I t 4,,
5.6,0.24,15.6,1.21,78.8,"""",,
8.2,0.36,15.0,1.20,76.8,"""",,
10.6,0.47,13.3,1.06,76.1,"""",,
16.5,0.79,12.1,1.03,71.4,"""",,
22.4,1.14,10.6,0.96,67.0,II,,
30.2,1.70,9.4,0.95,60.4,"""",,
34.9,2.05,7.1,0.74,58.0,"""",,
37.5,2.32,7.6,0.84,54.9,"""",,
44.3,3.05,6.3,o .78,49.4,Nalo  Na wo,,
44.7,3.14,6.8,0.85,48.5,42,,4.0
44.3,3.04,6.2,0.76,49.5,II,,
45.1,3.07,4.9,0.60,s0.a,Na o,,
45.746.9,3.073.01,"--3-,-6",0.43 ----,50.753.1,2 I t  4,,
