a mass% a mol/kg,mass%,mol/kg,,mass%,d/ kg m -3,V I m 2,-1 S,,,b phase,
3.770.93,----,----,,96.23,1.035,1.108,,,,,A
2.450.60,0.25,0.02,,97.30,1.037,1.109,,,,,II
2.04 0.50,0.49,0.03,,97.47,1.039,1.122,,,,,II
1.77  o .43,0.82,0.os,,97.41,1.041,1.130,,,,,II
1.540.38,1.43,0.09,,97.03,1.045,1.138,,,,A +,B
1.410.35,1.55,0.10,,97.04,1.044,1.135,,,,,B
1.180.29,1.84,0.12,,96.98,1.045,1.138,,,,,II
0.960.24,2.29,0.14,,96.75,1.045,1.138,,,,,II
0.50 0.20,2.79,0.18,,96.41,1.046,1.140,,,,,
0.670.16,2.96,0.19,,96.37,1.048,1.152,,,,,
0.520.13,3.65,0.23,,95.83,1.052,1.168,,,,,
0.410.10,4.49,0.29,,95.10,1.057,1.175,,,,,
0.340.09,5.21,0.34,,94.25,1.063,1.190,,,,,
0.260.06,5.91,0.38,,93.83,1.070,1.231,,,,,
0.210.05,7.00,0.46,,92.79,1.078,1.316,,,,,
0.200.os,9.05,0.61,,90.75,1.103,1.458,,,,,
0.180.os,9.32,0.63,,90.50,1.106,1.519,,,,B +,C
0.100.03,10.00,0.68,,89.90,1.116,1.581,,,,,C
"0--,0--5 -0-. -0-1",10.6212.38,0.720.86,,89.3387.62,1.1221.152,1.6171.911,,,,II,II
