Temperature (°C),Text Data,Text Data,Text Data,Text Data,Text Data,Text Data,Phase,Text Data,Phase
,28.0,17.59,1.65,31.2,19.60,2.94,A,+,C
,11.4,7.53,0.67,40.0,26.42,3.77,,C,
,0.o,o .o,0.o,46.3,31.65,4.37,,II,
80.0,63.8,38.95,3.76,0.o,0.o,0.o,,A,
,52.3,30.35,3.08,20.0,11.61,1.89,A,+,C
,0.o,0.o,0.o,45.1,31.08,4.25,,C,
100.0,90.0,47.36,5.30,0.o,0.o,0.o,,A,
,88.0,44.24,5.18,10.9,5.48,1.03,A,+,C
,67.1,36.37,3.95,17.4,9.43,1.64,,C,
,62.1,34.35,3.66,18.7,10.34,1.76,,II,
,39.0,23.40,2.30,27.7,16.62,2.61,,II,
,23.0,14.54,1.35,35.2,22.25,3.32,,II,
