,b,,b,,b,b,,solida.,,
mass%,mol/ kg,mass%,mol/kg,mass%,mol/ kg,mass%,,phase,,
30.23,3.64,1.31,0.14,0.46,0.04,68.00,,E +,,C
28.42,3.35,1.61,0.16,0.39,0.03,69.58,,11,,
28.00,3.27,1.45,0.14,0.28,0.02,70.27,,A +,,F
22.94,2.54,2.81,0.27,0.29,0.02,73.96,,,,II
26.07,2.97,1.36,0.13,0.54,0.04,72.03,B,+ E +,F,
26.10,2.95,1.21,0.12,0.19,0.02,72.50,,11,,
22.00,2.38,1.61,0.15,0.64,0.05,75.75,,B +,,F
18.06,1.84,1.09,0.10,0.58,0.04,80.27,,,,II
2.42,0.20,0.01,o.oo,0.81,0.05,96.76,,,,II
0.65,0.06,2.46,0.18,2.06,0.13,94.83,,,,II
