Temperature (°C),Text Data,Text Data,Temperature (°C),Temperature (°C),Text Data,Text Data,Text Data,Text Data,Empty_9,Phase,Phase
12.3,0.85,,,,,,,,,,A
,,17.40,1.73,,,,,,,,B
,,,,21.9,1.97,,,,,,C
0.92,0.07,14.40,1.41,0.88,0.07,,B,+,,,D
1.98,0.15,11.80,1.17,3.7,0.32,,,,,,II
2.6,0.19,9.80,0.99,6.15,0.53,,,,,,II
2.2,0.16,6.42,0.64,8.82,o .75,B,+,D +,,E,
1.6,0.12,3.65,0.36,12.6,1.08,,B +,,,,E
1.06,0.08,1.98,0.2,15.09,1.30,,,,,,II
0.95,0.07,1.52,0.16,18.39,1.64,,,"""",,,
0.83,0.06,1.31,0.14,20.42,1.86,B +,,C +,,E,
5.21,0.39,12.65,1.26,,,,A,+,,,E
4.35,0.31,8.20,0.78,1.2,0.10,,A,+,,,D
4.02,0.28,6.42,0.6,2.6,0.21,,,,,,II
3.45,0.24,4.25,0.39,3.45,0.27,,,,,,II
3.01,0.20,2.68,0.24,3.13,0.24,,,,,,II
2.43,o.17,1.46,0.14,8.8,0.71,A,+,D +,,E,
2.03,0.14,0.87,0.08,9.6,0.77,,A,+,,,E
1.79,0.12,0.50,0.08,10.4,0.84,,,,,,II
1.62,0.12,0.63,0.06,13.15,1.09,,,,,,II
1.59,0.12,o .45,0.04,15.8,1.35,,,,,,II
1.12,0.09,0.21,0.02,20.6,1.86,A,+,C +,,E,
