Temperature (°C),Text Data,Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Numeric Data,Temperature (°C),Text Data,Phase
1.6,98.4,3.3,5.5,93.9,337.0,5.4,2.8,,II
6.0,94.0,11.1,5.8,80.0,91.6,19.0,8.9,,B
6.4,93.6,11.2,3.9,75.3,56.8,30.5,13.5,,II
8.0,92.0,12.3,2.6,65.5,30.2,56.5,22.2,,II
9.1,90.9,13.7,2.8,63.3,28.1,60.0,23.0,,II
11.7,88.3,16.9,3.3,58.7,24.6,66.6,24.4,,II
13.0,87. o,19.0,4.0,58.7,26.9,60.0,22.3,,II
13.4,86.6,19.9,4.6,59.5,29.5,54.4,20.6,B +,C
13.3,86.7,18.3,3.2,55.1,21.2,75.8,26.6,,C
19.8,80.2,13.0,1.0,24.4,3.97,374.2,62.6,,II
22.5,77.5,11.9,0.8,19.0,2.81,511.4,69.1,,II
27.2,72.8,11.2,0.7,13.8,1.89,715.0,74.9,,II
31.4,68.6,10.4,0.6,10.5,1.35,942.0,79.2,,II
33.2,66.7,10.4,0.6,9.7,1.24,1000.0,79.9,,II
38.6,61.4,13.5,0.8,9.9,1.32,863.4,76.6,,II
43.6,56.4,19.2,1.3,11.4,1.68,620.4,69.4,f l,
49.0,51.0,27.7,2.2,13.3,2.3,410.5,59.0,,II
56.0,44.0,41.8,4.6,15.2,3.59,226.7,43.0,,II
59.3,40.7,51.5,7.5,16.3,5.18,145.3,32.2,C +,D
59.0,41.0,50.9,7.3,16.3,5.09,149.3,32.8,,D
60.6,39.4,52.4,7.7,15.7,5.03,145.0,31.9,D +,E
62.1,37.9,s0.a,6.9,14.3,4.19,167. s,34.9,,E
