mass%,mol/kga,mass% a mol/ kg mass%,mass%,pH,ind ex,phas e,
,,temp = 25 ° c .,,,,,
24.8,2.43,0.300.048.65,13.10,8.25,1.355,KH :;o,
25.8,2.69,3.750.548.92,22.02,2.38,1.361,2,4.0
25.0,2.86,10.91.738.67,20.78,1.97,1.381,II,
25.2,2.90,11.11.778.72,21.37,1.86,1.387,II,
27.2,3.42,14.42.519.4,22.41,1.61,1.397,II,
30.8,4.59,23.74.401 II  0.92,26.70,1.12,1.417,,
30.4,4.86,23.75.2610.67,31.57,0.56,1.417,II,
34.7,6.89,28.37.8012.0,33.65,0.21,1.419,II,
36.7,8.74,32.810.9712.7,35.58,0.20,1.422,II,
37.9,9.83,33.812.1813.3,44.32,0.16,1.423,II,
,,temp =  35 °c .,,,,,
27.2,2.74,0.00.009.4,14.3,3.5,1.360,"KH :,o",
28.0,3.02,4.400.609.5,17.3,2.76,1.373,2,
30.1,3.85,12.52.2210.4,24.7,1.82,1.389,II,
31.9,4.47,15.73.0511.l,28.0,1.20,1.400,II,
33.9,5.71,22.55.2611.81,34.4,0.88,1.414,II,
38.0,6.10,27.37.0113.3,39.8,0.3 II  0,1.417,,
39.2,9.86,31.611.0413.6,43.0,0.15,1.423,II,
41.5,12.44,34.014.1614.3,46.6,0.02,1.424,II,
