mass%,mol/kg,mass%,mol/kg,,ma ss%,mass%,pH,index,phase
,,,temp,=,50•c .,,,,
23.6,2.26,----,0.oo,,10.25,15.41,3.70,1.365,KHlo4
29.9,3.28,3.3,0.50,,10.35,17.99,3.10,1.370,
30.0,3.48,6.8,1.09,,10.96,20.58,2.19,1.372,
31.5,4.09,12.0,2.16,,10.90,25.11,1.78,1.373,
33.6,4.81,15.1,3.00,,11.52,28.40,1.56,1.384,
35.2,5.59,18.6,4.10,,12.19,31.81,1.12,1.398,
36.3,6.25,20.0,4.72,,12.55,33.42,0.89,1.394,
38.7,7.56,23.7,6.43,,13.39,37.2,0.69,1.401,
39.5,8.29,25.5,7.43,,13.65,39.10,0.44,1.409,
40.9,9.10,26.1,8.07,,13.75,40.25,0.34,1.410,""""
41.9,10.72,29.4,10.45,,14.50,43.12,0.25,1.413,""""
42.5,11.69,30.8,11.77,,14.70,44.50,0.23,1.415,""""
44.4,14.30,32.8,14.67,,15.35,46.89,-0.04,1.419,""""
46.0,17.33,34.5,18.05,,15.90,49.01,-0.08,1.423,""""
