2 conea.,,"""2 cone a.",,,mass%,4 mol/kg,,mass% mol/kg,,3 mass%,,4 mo l/kg,,2mass%
,,,,,,,,t emp . a 0 ° C .,,,,,,
96.0,,107.0,,,5.77,0.62,,50.6620.73,,----,,----,,43.61
90.5,,146.0,,,11.55,1.01,,34.6611.48,,----,,----,,53.83
86.5,,156.0,,,15.77,1.31,,27.748.75,,----,,----,,56.49
82.2,,173.0,,,19.50,1.52,,20.406.05,,----,,----,,60.10
79.5,,171.0,,,22.62,1.76,,17.005.02,,----,,----,,60.38
76.3,,153.0,,,28.01,2.26,,13.714.19,,----,,----,,58.28
73.5,,153.0,,,31.32,2.50,,9.762.95,,----,,----,,58.92
70.8,,160.0,,,33.59,2.61,,5.801.70,,----,,----,,60.61
68.5,,153.0,,,37.24,2.92,,2.720.80,,----,,----,,60.04
66.5,,152.0,,,39.66,3.10,,---- ----,,0.07,,0.01,,60.27
63.9,,147.0,,,38.88,3.11,,---- ----,,2.25,,0.39,,58.87
61.0,,104.0,,,44.94,4.28,,---- ----,,5.67,,1.17,,49.39
58.556.0,,82.097.1,,,48.3142.70,5.354.35,,-------- ---- ----,,9.2111.13,,2.212.46,,42.4846.17
52.4,,92.0,,,41.02,4.42,,---- ----,,15.32,,3.58,,43.66
50.5,,219.0,,,23.79,1.70,,---- ----,,10.45,,1.62,,65.76
48.3,,363.0,,,15.68,0.97,,---,,,,,,
39.8,,460.0,,,10.68,0.63,,----- ---- ----,,8.199.91,,1.091.27,,76.1379.41
33.0,,280.0,,,13.05,0.89,,---- ----,,18.32,,2.72,,68.63
30.0,,260.0,,,12.52,0.88,,---- ----,,21.07,,3.23,,66.41
25.0,,63.0,,,23.05,4.51,,---- ----,,52.90,,22.45,,24.05
24.7,,172.0,,,13.64,1.18,,---- ----,,31.93,,5.98,,54.43
19.5,,80.0,,,16.28,2.60,,---- ----,,54.24,,18.28,,29.48
