0,1,2,3,4,5,6,7,8
68.5,119.0,43.02,3.76,3.14,1.04 ----,,----,53.84
66.5,117.5,45.95,4.01,-----,---- 0.08,,0.01,53.97
63.961.0,101.580.2,47.6650.88,4.535.61,----- -----,---- 2.76 ---- 6.42,,0.561.53,49.584 2.70
"58,5",82.0,48.31,"5,35",-----,"---- 9,21",,2.21,"42,48"
56.0,76.0,47.82,5.67,-----,--,,,
"52,4",88.0,41.89,"4,64",-----,------ 12.47,,3.20,39.71
50.5,159.0,29.30,2.38,-----,---- 15.6412.87,,3.762.27,22.47  57.83
48.3,292.0,18.52,1.21,-----,----,,,
,,,,,----,,,
,,,,,9.67,,1.37,71.81
39.8,435.0,11.18,0.67,-----,10.38,,1.35,78.42
33.0,249.0,14.21,1.01,-----,---- 19.95,,3.09,65.84
30.025.024.7,"185.0121.059,0",15.8223.6316.79,1.295.031.80,---------- -----,-------- ---- 26.6254.23,,4.712 5.00,57.562 2.14
19.5,58.0,18.55,4.44,-----,---- 39.30 61.79,,"9,1332.09",43.91 19.66
13.1,92.0,10.25,1.51,-----,---- 57.76,,18.43,31.99
10.0,44.0,10.43,6.08,-----,---- 81.48,,102.87,12.44
2.4,47.8,2.44,1.53,-----,---- 90.05,,122.44,7.51
