n0.t/ °,mass%,mol/kg,mass%,mol/kg,,mass%,mol/kg,C
10,15.65,1.363,----,----,,,,
20,13.73,1.169,----,----,,0.0130.003,0.0020.000,
30,12.68,1.067,0.006,0.000,,----,----,
40,12.83,1.086,0.385,0.045,,----,----,
s 0,13.21,1.131,1.03,0.122,,----,----,
60,15.31,1.449,7.06,0.928,,----,----,
725,28.09,2.871,----,----,,0.035,0.008,
825,23.68,2.280,----,----,,,,
925,21.88,2.056,----,----,,0.0180.011,0.0040.002,
10112525,20.9020.23,1.9411.863,---- ----,--------,,0.0050.002,0.0010.000,
1225,19.83,1.817,----,----,,0.001,0.000,
1325,19.91,1.827,0.024,0.003,,----,----,
1425,19.88,1.829,0.265,0.033,,----,----,
1525,20.31,1.883,0.45,0.058,,----,----,
1625,20.60,1.923,0.112,0.092,,----,----,
1725,20.75,1.962,1.12,0.146,,----,----,
1825,20.75,1.962,1.56,0.205,,----,----,
1925,20.83,1.995,2.46,0.327,,----,----,
2025,21.85,2.222,5.95,0.840,,----,----,
2125,23.98,2.644,9.38,1.436,,----,----,
2223 50 50,36.6434.24,6.284.51,20.5110.00,4.881.83,,--------,-------,
24 50,31.79,3.65,4.31,0.689,,----,-----,
25 50,31.15,3.36,0.82,0.123,,-,,
26 50,30.34,3.24,0.94,0.139,,-------,--------,
27 50,29.24,3.05,0.39,0.056,,----,----,
28 50,29.15,3.04,0.44,0.063,,----,----,
29 50,30.59,3.24,----,----,,0.004,0.001,
----30 50,31.45,3.37,----,,,0.013,0.003,
31 50,52.49,8.14,----,----,,0.13,0.os o,
