no .,mas s%,mol%,mass%,mol%,mass%,mol%,phasea,
12,47.2545.51,14.6213.78,--------,--------,52.7254.49,83.3886.22,"Al,A2 (1)  A2",
3,47.49,17.92,1.37,0.74,41.14,81.34,A1+ BJ,
4,46.18,14.44,1.73,0.36,52.09,85.20,"B3,Al(l)",
5,45.92,14.32,1.78,0.37,52.30,85.31,II,II
6,45.90,14.28,1.86,0.38,52.24,85.34,A2 + B3,
7,45.75,14.25,1.85,0.38,52.40,85.37,B3 (1),
,,,,,,,A2 + BJ,
8,43.20,13.37,3.75,0.77,53.05,85.86,B3,
9,41.69,13.65,9.04,1.97,49.27,84.38,B3,
10,41.53,13.67,9.52,2.08,48.95,84.25,B3 + g1,
11,41.67,13.67,9.61,2.11,48.72,84.13,B3,
12,41.63,14.20,11.78,2.67,46.59,83.13,,
13,41.55,14.55,13.51,3.14,44.94,82.31,,
14,41.50,14.78,14.56,3.36,43.94,81.86,,
15,41.70,15.03,15.19,3.67,43.11,81.30,,
16,41.58,14.98,15.23,3.67,43.19,81.35,,
17,41.56,15.03,15.45,3.70,42.99,81.27,,
18,41.87,15.49,16.54,4.06,41.59,80.45,,
19,42.01,15.81,17.44,4.39,40.55,79.80,,
20,42.12,15.95,17.69,4.45,40.19,79.60,,
21,42.44,17.08,20.78,5.54,36.78,77.38,,
