Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,5_phase
22,43.34,19.9326.75,8.16,29.91,71.91 B3 +,,C
23,41.53,13.679.52,2.08,48.95,84.25 B3 + B7,,
24,41.50,13.669.57,2.10,48.93,84.24 B3 + B7,,
25,37.18,11.328.15,1.65,54.67,87.03 B7,,
26,34.39,10.5110.99,2.23,54.62,87.26,,II
27,34.06,11.2516.70,3.66,49.21,85.09,,II
28,39.42,16.0324.17,6.52,36.41,77.45  B7 + g3,,
29,41.48,17.9925.62,7.37,32.90,74.64 B7,,
30,41.64,18.7127.21,8.10,31.15,73.19 c c.,,
3132,41.0740.40,1--8-.-3528.1227.46,8-.-1-4-,31.4731.48,---- 73.51 C b,,II
33,40.22,17.8027.79,8.16,31.99,74.04 cc.,,
34,37.59,16.5730.03,8.78,32.39,74.65,,II
35,37.20,16.5130.72,9.04,32.08,74.45,,II
36,36.96,16.3130.65,8.96,32.39,"74.43 """,,
37,41.90,18.0624.89,7.11,32.21,74.83 C3 c.,,
38,40.33,16.8124.62,6.80,35.05,76.39,,II
39,36.69,14.2224.37,6.28,38.94,"79 d,45  C3",,
40,34.15,13.0325.48,6.45,40.37,80.52,,II
41,34.05,12.9825.52,6.45,40.43,80.57,,II
42,34.22,13.1926.02,6.69,39.76,80.12 C3,,
43,34.13,13.2226.39,6.82,39.48,79.96,,II
44,34.22,13.3626.90,7.26,38.88,79.38,,II
45,34.55,13.7627.57,7.32,37.88,"78.92 """,,
46,34.92,14.1628.90,7.77,36.82,78.07,,II
47,34.97,b14.4229.04,7.95,35.99,77.63 CJ +,",e",D
48,37.46,16.2929.47,0.50,33.07,75.21 D b,,
49,35.84,14.9828.95,8.03,35.21,76.99,,II
50,35.53,14.8129.09,8.08,35.38,77.11 CJ +,,D
51,35.51,14.7628.96,7.99,b 35.53,77.25 CJ ( l),,
52,35.16,14.5429.01,7.96,35.83,77.50 C3 +,,D
53,35.01,14.4929.19,8.02,35.80,77.49,,
54,34.48,14.1929.39,8.02,36.13,"77.78 """,,
55,33.32,13.1828.30,7.42,38.38,79.40,,
56,32.65,12.6527.75,7.13,39.60,80.22,,II
57,31.30,11.9827.12,7.72,41.58,81.30,,II
58,26.33,8.7524.23,5.34,49.44,85.91,,II
59,20.12,5.7819.67,3.75,60.21,"90.47 """,,
60,17.68,4.8418.13,3.29,64.19,91.87,,II
61,14.20,3.6415.89,2.70,69.91,"93.66 """,,
62,11.66,2.7713.37,2.10,74.97,95.13,,II
63,7.77,1.7610.73,1.61,81.50,96.63,,II
64,7.14,1.6010.45,1.56,82.41,96.84,,II
65,6.87,1.5310.17,1.51,82.96,96.96,,II
66,6.90,1.5511.00,1.65,82.10,96.80,,II
67,7.06,1.6011.44,1.72,81.50,96.68,,II
68,7.08,1.6212.12,1.84,80.80,96.54,,II
69,8.49,2.1520.35,3.43,71.16,94.42,,II
70,9.52,2.6526.89,4.95,63.59,"92.40 """,,
71,10.19,3.1032.90,6.48,56.91,"90.42 """,,
72,11.69,4.1842.42,10.05,45.89,85.77  i,,
73,12.50,4.8446.38,11.91,41.12,83.25,,II
74,12.68,5.0147.40,12.43,39.92,82.56,,
75,12.91,5.3849.90,13.49,37.19,81.13,,II
76,13.67,5.8650.76,14.43,35.57,79.71,,II
77,14.27,6.4452.78,15.80,32.95,77.76,,II
78,14.29,6.4953.94,16.26,31.77,77.25,,II
79,12.77,5.0447.16,12.33,40.07,82.63 E +,,F
