n0.mass%,mol/ kg,mass%,mol/kg,mass%,mol/kg
1,,,,78.93,38.24
22.46,0.62,,,78.96,43.38
35.68,1.70,,,78.62,51.12
47.35,2.51,,,78.86,58.37
57.60,2.60,,,78.64,58.39
68.64,4.18,,,81.63,85.70
78.28,3.72,,,81.23,79.09
87.92,3.28,,,50 .72,72.57
97.41,2.38,,,77.93,54.28
106.58,1.63,,,74.45,40.06
116.50,1.58,,,74.14,39.10
127.96,1.42,,,65.62,25.36
139.09,1.48,,,61.98,21.87
1412.25,1.84,,,56.51,18.46
1515.58,2.33,,,53.01,17.23
1615.84,2.37,,,52.74,17.13
1716.41,2.66,,,54.62,19.24
1815.36,2.12,,,50.57,15.15
1913.42,1.46,,,43.40,10.26
2012.28,1.18,,,38.80,8.09
2110.29,0.76,,,26.69,4.23
228.64,0.55,,,17.76,2.46
237.35,0.41,,,10.07,1.24
246.62,0.35,,,6.14,0.71
259.54,0.53,,,6.71,0.81
2612.77,o .75,,,7.64,0.97
2722.81,1.60,,,10.33,1.57
2824.35,1.76,,,10.84,1.70
2931.83,2.70,,,12.74,2.34
3033.80,2.97,,,12.65,2.41
3140.73,4.27,,,14.36,3.26
3241.53,4.39,,,13.95,3.19
3343.95,4.99,,,14.57,3.58
3445.90,5.43,,,14.31,3.67
3547.34,5.69,,,13.49,3.51
3646.64,5.27,,,11.70,2.86
3746.38,5.09,,,10.73,2.55
3849.15,5.40,,,8.03,1.91
3951.67,5.80,,,6.41,1.56
4051.84,5.87,,,6.56,1.61
4140.66,4.13,,,13.02,2.87
4238.99,3.65,,,10.74,2.18
4337.44,3.27,,,8.72,1.65
4440.46,3.63,,,7.03,1.36
4544.11,4.12,,,5.51,1.11
4647.03,4.67,,,5.59,1.20
4749.03,4.73,,,4.73,1.04
4849.34,5.04,,,4.59,1.01
491.00 50 48.5246.98,4.874.38,,,4.602.57,0.52
5145.39,3.98,,,0.90,0.17
5244.28,3.74,,,0.02,0.00
5340.64,3.39,3.03,0.95,,
5440.11,3.32,3.07,0.96,,
5535.83,2.91,6.34,1.95,,
5621.68,1.68,17.59,5.16,,
5723.21,1.80,16.33,4.81,,
