Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Temperature (°C),Temperature (°C),Text Data
32,38.83,17.78,b 30.749.34,30.43,72.88,D ( ? )
33,38.06,17.19,30.789.22,31.16,73.59,C + D ( ? )
34,36.65,16.23,31.029.12,32.23,74.65,
35,36.61,16.28,31.389.26,32.01,74.46,II
36,35.69,15.77,31.919.36,32.4,74.87,II
37,35.77,15.94,31.109.19,32.13,74.87,F
38,35.58,15.45,31.168.98,33.28,75.57,II
39,35.54,15.47,31.309.04,33.16,75.49,II
40,35.35,15.38,31.449.07,33.21,75.55,II
41,34.0,14.12,30.308.35,35.7,77.53,II
42,33.79,13.89,29.938.16,36.28,77.95,II
43,33.7,13.91,30.258.28,36.05,77.81,II
44,32.8,13.19,29.697.92,37.51,78.89,II
45,31.8,12.44,29.087.54,39.12,80.02,II
46,27.91,9.88,26.786.28,45.31,83.84,F
47,25.6,8.54,25.205.58,49.2,85.88,II
48,25.25,8.34,24.805.43,49.95,86.23,II
49,21.78,6.66,22.714.61,55.51,88.73,II
50,12.56,3.2,17.012.88,70.43,93.92,II
51,10.63,2.6,15.312.49,74.06,94.91,II
52,10.06,2.45,15.152.45,74.79,95.11,II
53,10.15,2.47,15.302.45,74.55,95.08,II
54,10.32,2.53,15.562.53,74.12,94.94,I
55,10.48,2.64,17.872.99,71.65,94.37,
56,10.71,2.75,19.423.31,69.87,93.34,
57,11.11,3.09,25.514.71,63.38,92.2,
58,12.03,3.61,30.406.05,57.57,90.34,
59,12.25,3.77,31.946.51,55.82,89.72,
60,12.96,4.52,39.749.20,47.3,86.28,
61,13.22,4.71,40.859.66,45.93,85.63,
62,14.21,6.02,49.7113.98,36.08,80.0,
63,14.3,6.09,49.8714.09,35.83,79.82,
64,14.34,6.27,51.1514.83,34.51,78.9,G
65,9.65,4.25,55.8516.30,34.51,79.45,II
66,9.53,4.18,55.7216.19,34.75,79.63,II
67,8.84,3.59,57.9217.45,33.24,78.96,II
68,8.71,3.95,58.1717.50,33.12,78.55,II
69,8.68,3.5,60.2416.13,38.08,80.37,II
70,9.1,4.56,62.4820.75,28.52,74.69,II
71,10.05,5.6,65.9324.38,24.02,70.02,II
