mass%,mass%,mass%,mol/kg,mass% mol/kg,,mass%,mol/kg,mass%
,,,,t emp ..25° c.,,,,
10.0,12.4,23.78,1.18,2.11,0.25,----,----,74.11
12.19,13.65,26.17,1.37,3.73,0.47,----,----,70.09
16.7,16.65,31.93,1.91,6.73,0.98,----,----,61.34
24.25,21.7,41.61,3.28,11.73,2.24,----,----,46.65
6.857.79,10.413.85,19.7922.51,0.911.11,--------,---- ----,0.112.92,0.010.20,80.1074.58
8.78,18.75,25.37,1.39,----,----,7.62,0.58,67.01
8.97,23.18,25.92,1.57,----,----,13.34,1.12,60.74
9.8410.86,30.637.6,28.4331.38,2.102.93,----- ---,---- ----,21.7829.32,2.233.81,49.7939.30
11.55,41.85,33.37,3.73,----,----,,,
9.9,51.3,28.61,4.97,----,----,33.7550.23,5.2412.11,32.8721.16
6.3,59.8,18.20,5.42,----,----,69.46,28.73,12.33
