0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
g/cm 3,,b cone,,Gt mass%,,Gt mol/kg,,b cone,,Gt mass%,,mol/kl,b cone,,Gt mass%,,solidphase c.
1.1151,,100,,15.5,,1.35,,0,,0,,0,4125,,84.5,,A
1.1158,,91.9,,14.6,,1.28,,18.1,,1.77,,0.28,3540,,83.6,,II
1.1179,,68.3,,1:3. o,,1.04,,31.7,,3.31,,0.53,3320,,83.7,,I I
1.1183,,55.1,,12.0,,1.07,,44.9,,5.37,,0.87,2860,,82.6,,I I
1.1199,,"37,3",,10.2,,0.93,,62.7,,9.44,,1.58,2210,,80.3,,I I
1.1427,,27.0,,8.70,,0.82,,73.0,,12.9,,2.21,1840,,78.4,,I I
1.1750,,7.9,,3.21,,0.31,,"92,1",,20.6,,3.63,1415,,76.2,,A +  B
1.1690,,4.2,,1.72,,0.16,,"95,8",,21.5,,3.76,1420,,76.8,,B
1.1420,,0,,0,,0,,100,,22.3,,3.85,1440,,77.7,,I I
