Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K,Column_L,Column_M,Column_N,13_phase
,,,,4,,,,,,2,,,solid,
No,.t./ •c .,g cm -3,,c. conea  cone b,mass%,cone a,cone b,,mas s%,mass%,b cone,,phase,
1,0,1.094,,19.3100,12.7,----,----,,----,87.30,687.4,,,A
2,0,1.095,,16.081.4,10.5,6.6,18.6,,2.4,87.10,675.2,,"""",
3,0,1.097,,11.754.7,7.6,17.7,45.3,,1.3,91.10,619.4,,"""",
45,00,1.1651.156,,4.3  ---- 10.7  ----,-2--. -5,65.869.0,89.3100,,20.922.2,76.6077.80,327.3350.4,,A + B,B
6,25,1.147,,32.9100,19.92,----,----,,----,80.08,402. o,,,A
7,25,1.144,,30.192.6,18.28,4.3,7.4,,1.45,80.27,406.8,,"""",
8,25,1.137,,22.470.1,13.65,17.4,29.9,,5.83,80.52,413.3,,"""",
9,25,1.138,,21.065.3,12.75,20.6,35.0,,6.87,80.38,409.6,,"""",
10,25,1.139,,19.860.2,11.98,23.9,39.8,,7.92,80.10,402.5,,"""",
11,25,1.140,,18.354.6,11.05,27.8,45.4,,9.18,79.77,394.3,,"""",
12,25,1.148,,14.539.6,8.54,40.3,60.4,,13.05,78.41,363.2,,"""",
13,25,1.179,,8.818.2,4.83,71.3,81.8,,21.67,73.50,277.4,,"""",
14,25,1.196,,6.512.6,3.57,83.9,87.4,,24.82,71.61,252.2,,A +,B
15,25,1.184,,2.75.3,1.44,85.8,94.7,,25.81,72.75,267.0,,,
16,25,1.179,,---- ----,----,86.8,100,,26.40,73.60,278.0,,,II
17,50,-----,,54.3100,29.10,----,----,,----,60.90,243.7,,,
18,50,-----,,38.175.5,20.8,22.6,24.7,,6.8,72.40,262.3,,,II
19,50,-----,,23.245.7,12.7,50.4,54.3,,15.1,72.20,260.0,,"""",
20,50,-----,,10.215.96,5.23,99.0,84.04,,27.5,67.23,205.2,,A +,B
21,50,-----,,---- ----,----,104.0,100,,30. l,69.90,232.2,,,B
