Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Text Data,Temperature (°C),Text Data,Text Data,Text Data,Text Data
25,20.42,1.88,----,----,25,7.98,0.88,25.42,3.31
25,19.12,1.92,7.87,0.93,25,----,----,29.45,3.62
25,18.52,1.85,8.04,0.95,50,28.09,2.87,----,----
25,18.14,1.85,9.98,1.20,50,25.23,2.83,9.49,1.26
25,17.66,1.8,10.44,1.26,50,18.97,2.52,25.91,4.08
25,17.94,1.84,10.52,1.27,50,15.92,2.12,29.12,4.60
25,16.78,1.75,13.09,1.62,50,14.38,1.93,30.96,4.92
25,14.8,1.6,17.47,2.24,50,11.79,1.57,33.22,5.25
25,12.74,1.4,20.82,2.72,50,7.69,0.98,35.19,5.35
25,10.17,1.12,23.16,3.01,50,3.45,0.43,38.42,5.74
25,10.02,1.09,22.93,2.97,50,----,----,39.88,5.76
