Mass %,Mass %,Text Data,Mass %,Mass %,Text Data,Temperature (°C),Mass %,Text Data,Text Data,Phase
,,a.2,,,2,4,,,solidc.,
ion%,ion%,cone,mass%,mass%,,mol/kg,mass%,mol/kg,phase,
,,,,temp .,..,o •c .,,,,
93.84,90.73,1358,77.28,1.32,,0.12,21.38,3.71,,A
88.55,82.76,1271,76.69,2.62,,0.25,20.68,2.62,A +,B
77.07,65.48,1627,81.95,4.38,,0.39,13.66,2.23,,B
62.12,42.81,1888,85.45,6.52,,0.58,8.02,1.25,,II
61.23,41.55,1901,85.61,6.63,,0.56,7.75,1.21,,II
48.13,21.91,1919,86.96,8.91,,0.75,4.11,0.63,,II
47.66,20.99,1925,87.06,9.00,,0.76,3.93,0.60,,II
33.33,0,1778,87.58,12.41,,1.04,0.oo,0.oo,,II
,,,,"temp,",..,25 ° c .,,,,
93.02,89.62,1057,72.67,1.79,,0.18,25.52,4.71,,A
87.18,80.71,972,71.73,3.58,,0.36,24.67,4.61,A +,B
75.03,62.02,1158,76.65,6.33,,0.60,17. oo,2.97,,B
60.00,40.00,1248,79.74,9.66,,0.89,10.58,1.78,,II
46.23,18.86,1177,80.63,14.01,,1.27,5.35,0.89,,II
33.33,0,1012,80.06,19.93,,1.82,0.00,0.oo,,II
,,,,temp. ..,,50 ° c .,,,,
100,100,967.4,70.01,0.00,,0.oo,29.98,5.74,,A
84.91,77.30,783.1,67.47,4.92,,0.53,27.59,5.48,A +,B
69.54,54.28,885.7,72.25,9.40,,0.95,18.34,3.40,,B
51.26,26.93,834.0,73.82,16.30,,1.62,9.87,1.79,,II
33.00,0,624.4,71.30,28.70,,2.96,0.oo,0.oo,,II
