Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K,Column_L,9_phase
20,1.175,0.0000,0.4591,1210.00.oo,0.00,25.50,4.59,,,,,A
20,-----,0.0301,0.4526,1149.61.01,0.10,24.97,4.52,,,,,II
20,-----,0.0691,0.4443,1082.02.30,0.23,24.31,4.44,,,,,II
2020,-1-. -1-7-0,0.10090.1387,0.43580.4256,1035.11106.63.334.55,0.330.46,23.7022.99,4.354.25,A,+,,B,B
20,-----,0.1753,0.2789,1223.16.17,0.58,16.15,2.78,,"""",,,
20,-----,0.2275,0.2021,1293.28.23,0.75,12.01,2.02,,,,,II
20,-----,0.2774,0.1472,"1 "" 308.310.18",0.92,8.88,1.47,,,,,
20,-----,0.3443,0.0898,1278.312.77,1.14,5.47,0.89,,,,,II
20,-----,0.4186,0.0380,1216.615.58,1.39,2.32,0.38,,,,,II
20,1.131,0.4855,0.0000,1144.218.04,0.01,0.00,0.oo,,,,,II
4040,1-.--18--7,0.00000.0214,0.53990.5366,1028.9994.50.oo 0.68,0.oo 0.07,28.7028.37,5.395.36,,A,,,II
40,-----,0.0872,0.5223,911.42.76,0.29,27.25,5.22,,,,,II
40,1.185,0.1370,0.5126,855.34.30,0.45,26.46,5.12,A,+,,B,
40,-----,0.2197,0.3757,933.07.22,0.73,20.30,3.75,,,,,
40,-----,0.3131,0.2701,952.610.57,1.04,14.99,2.70,,"""",,,
40,-----,0.4438,0.1644,913.315.20,1.47,9.25,1.64,,,,,II
40,-----,0.6008,0.0655,8 II  33.220.62,2.00,3.69,0.65,,,,,
40,-----,0.7348,0.0000,756.125.00,2.44,0.00,0.oo,,,,,II
