Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,Column_K
11.211.06,,,11.501.29,,77.28,6.0,,A +,B,
13.441.32,,,11.601.34,,74.95,14.2,,II,,
12.781.34,,,17.302.15,,69.91,17.6,,II,,
5.800.53,,,14.701.60,,79.50,-4.5,,B +,C,
9.221.00,,,23.383.01,,67.40,25.0,,A +,B,
9.860.88,,,8.330.88,,81.80,-4.0,,A +,C,
13.281.29,,,11.221.29,,75.50,13.6,,A +,B,
13.551.32,,,11.451.32,,75.00,14.0,,II,,
7.720.63,,,2.580.24,,89.70,-3.6,,A +,C,
10.300.94,,,9.060.98,,80.63,-4.0,,II,,
The composition,,of,the eu t ec t ic point,,is :,,,,,
8.500.07,,,11.400.53,,80.10,-4.5,A,+  B,+,C
