Temperature (°C),Text Data,Temperature (°C),Text Data,Text Data,Text Data,Temperature (°C)
20.3,1.87,0.0,0,79.7,"KH ;,0",
20.8,1.93,0.0,0,79.2,2,4.0
17.6,1.61,2.2,o.37,80.2,"""",
16.6,1.55,4.8,0.82,78.6,"""",
13.5,1.21,6.0,1.00,80.7,"""",
13.3,1.25,8.3,1.42,78.4,"""",
11.0,1.05,12.0,2.09,77. o,"""",
8.7,0.83,14.0,2.43,77.3,"""",
7.5,0.71,15.4,2.68,77.1,"""",
7.0,0.69,18.6,3.36,74.4,"""",
7.1,o .72,20.2,3.73,72.7,II,
5.7,0.57,20.4,3.70,73.9,"""",
5.5,0.57,23.4,4.41,71.1,"""",
5.0,0.52,23.8,4.48,71.2,KHl0 + KCl,
5.6,0.59,24.9,4.80,69.5,4 KCl,
3.0,0.31,25.3,4.73,71.7,II,
1.5,0.15,25.5,4.69,73.0,II,
0.0,0,26.6,4.86,73.4,II,
0.0,0,26.4,4.81,73.6,"""",
