Text Data,Empty_1,Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Phase,Text Data,Phase
,,,,,0.081,0.45,1.441,13.95,,A,
;:; ct,,53.12,62.9,,,,1.36,7.0,,B,
66.05,,20.34,14.3,0.023,0.012,0.0083,1.41,7.23,,II,
41.47,,8.74,5.21,0.054,0.017,0.0113,1.399,6.98,,,
39.17,,7.67,4.74,0.055,0.018,0.011,1.396,6.53,,,
38.40,,7.56,4.58,0.056,0.018,0.0111,1.394,6.32,,,
35.52,,6.73,4.05,0.057,0.018,0.0108,1.39,6.24,,,
29.18,,5.07,3.03,0.094,0.026,0.0162,1.385,5.97,,,
27.65,,4.75,2.81,0.129,0.035,0.0218,1.374,5.81,,,
27.26,,4.72,2.76,0.145,0.04,0.0244,1.371,5.74,,,
26.50,,4.47,2.66,0.164,0.047,0.0273,1.366,5.59,,,
25.73,,4.19,2.55,0.176,0.048,0.029,1.361,5.31,,,
24.96,,4.13,2.45,0.201,0.055,0.0328,1.36,5.06,,,
20.16,,3.28,1.86,0.293,0.076,0.045,1.368,4.32,,,
17.28,,2.56,1.54,0.374,0.096,0.0554,1.356,4.64,A,+,B
13.44,,1.84,1.15,0.328,0.076,0.0464,1.367,4.91,,A,
l1.52,,1.61,0.96,0.304,0.071,0.0421,1.386,6.82,,,
10.37,,1.39,0.85,0.3,0.071,0.041,1.416,8.05,,,
9.60,,1.37,0.78,0.323,0.076,0.0438,1.425,11.24,,,
9.22,,1.31,0.75,0.304,0.072,0.041,1.43,12.07,,,
6.91,,0.96,0.55,0.339,0.078,0.0446,1.435,13.05,,,
4.61,,0.56,0.36,0.351,0.079,0.0451,1.44,13.6,,,
0.77,,0.09,0.06,0.363,0.08,0.0449,1.441,13.85,,,
