Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Temperature (°C),Numeric Data,Text Data,Temperature (°C),Text Data,Phase
1.0,20.49,0.0,79.51,33.94,0,100.0,2945.9,1.89,0.0,A,
2.0,16.93,4.13,78.94,28.38,9.32,75.27,2651.5,1.57,0.52,II,
3.0,14.96,7.45,77.59,25.52,17.12,59.85,2345.2,1.42,0.95,"""",
4.0,13.5,10.75,75.75,23.57,25.28,48.25,2046.7,1.31,1.4,"""",
5.0,12.23,13.95,73.82,21.92,33.67,39.43,1798.7,1.22,1.87,II,
6.0,11.35,16.78,71.87,20.89,41.60,33.43,1600.4,1.16,2.31,"""",
7.0,11.0,18.46,70.54,20.62,46.64,30.65,1486.7,1.15,2.59,II,
8.0,10.17,20.79,69.04,19.5,53.66,26.66,1366.7,1.15,3.0,II,
9.0,10.15,22.11,67.74,19.82,58.17,25.42,1282.2,1.10,3.23,A +,B
10.0,10.03,22.45,67.52,19.64,59.23,24.91,1267.7,1.09,3.29,II,
11.0,7.07,23.79,69.14,13.51,61.31,18.06,1336.5,o .75,3.4,B,
12.0,5.11,24.98,69.91,9.65,63.67,13.17,1363.7,0.54,3.53,"""",
13.0,0.0,27.49,72.51,0.0,67.57,0,1479.9,0,3.75,"""",
,,,,,temp . =,50° c.,,,,,
14.0,29.15,0.0,70.85,54.45,0,100.0,1836.7,3.02,0.0,A,
15.0,25.63,4.21,70.16,49.75,10.98,81.91,1646.5,2.68,0.593,II,
16.0,20.82,11.68,67.5,40.8,30.82,56.96,1396.1,2.27,1.71,"""",
17.0,19.95,13.11,66.94,39.44,34.89,53.06,1395.0,2.19,1.94,"""",
18.0,18.08,15.42,66.5,35.97,41.31,46.55,1294.0,2.00,2.29,"""",
19.0,14.73,22.01,63.26,30.76,61.90,33.20,1077.4,1.71,3.44,"""",
20.0,14.01,23.35,62.24,29.59,66.41,30.83,1041.6,1.65,3.77,"""",
21.0,12.32,26.37,61.31,26.53,76.56,25.74,939.3,1.48,4.25,II,
