Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Phase,Text Data,Empty_7,Text Data,Phase,Phase
1,2.0,12.6,85.4,68.5,A,+,,+,C,B
2,8.2,12.4,79.4,162.6,A,+,,+,D,B
3,11.2,14.0,74.8,278.5,B,+,,+,E,D
4,16.1,6.6,77.3,260.0,A,+,,+,E,D
5,0.9,7.6,91.5,55.0,,A +,,C,,
6,1.6,10.0,88.4,63.8,,,,,,II
7,1.9,11.8,86.3,66.3,,,,,,
8,2.7,12.7,84.6,81.3,,A +,,B,,
9,4.7,12.5,82.8,114.6,,,,,,II
10,5.8,12.3,81.9,133.7,,,,,,II
11,7.0,12.5,80.5,147.8,,,,,,II
12,8.1,12.3,79.6,159.1,,,,,,II
13,9.0,11.1,79.9,162.4,,A +,,D,,
14,11.0,9.6,79.4,184.5,,,,,,
15,12.6,8.6,78.8,221.5,,,,,,II
16,13.8,7.6,78.6,234.5,,,,,,II
17,17.1,4.8,78.1,288.3,,A +,,E,,
18,18.9,2.1,79.0,309.0,,,,,,II
19,9.0,12.5,78.5,183.4,,B +,,D,,
20,9.4,12.7,77.9,192.0,,,,,,II
21,9.5,12.8,77.7,199.4,,,,,,II
22,9.9,12.9,77.2,216.1,,,,,,II
23,10.3,13.1,76.6,231.8,,,,,,II
24,9.5,15.6,74.9,324.4,,B +,,E,,
