no .,pH,mass%,mass%,mass%,mass%,%,of  total,,phases
1,7.18,12.4,14.9,34.0,14.2,,58,,"A,C,L"
2,6.65,16.1,8.9,36.9,13.0,,65,,"A,C,L"
3,6.30,19.6,5.5,40.1,13.5,,66,,"A,B,C,L"
4,6.00,18.7,5.7,39.0,12.3,,68,,"B,C,L"
5,5.93,18.5,6.5,40.3,18.0,,55,,"B,C,L,M"
6,5.88,18.8,5.0,41.2,16.3,,60,,"B,C,M"
7,5.28,16.9,5.5,42.3,9.6,,77,,"B,C,M"
8,5.18,16.6,6.8,42.6,9.1,,79,,"B,C,E,M"
9,5.10,17.3,5.4,42.6,8.6,,80,,"B,E,M"
10,6.95,11.2,16.5,34.5,17.5,,49,,"C,L,M"
11,6.30,15.7,9.7,37.7,17.8,,53,,"C,L,M"
12,6.13,16.9,8.0,38.9,17.9,,54,,"C,L,M"
13,4.55,9.8,13.5,39.9,6.8,,83,,"D,E,M"
14,5.08,9.9,14.3,40.7,5.8,,86,,"D,E,M"
15,4.95,13.5,16.3,41.2,4.8,,88,,"C,M"
16,5.18,11.1,17.9,39.2,4.7,,88,,"C,M"
17,6.10,8.5,22.7,33.6,10.0,,70,,"C,M"
18,7.40,3.6,27.4,32.8,10.1,,69,,"C,J,M"
19,6.95,3.1,27.4,34.0,4.2,,79,,"C,J,M"
20,6.49,2.7,27.7,36.0,5.0,,86,,"C,G,J,M"
21,6.23,3.3,26.3,36.1,5.8,,84,,"C,G,M"
22,5.45,7.3,16.9,38.7,5.8,,85,,"C,G,M"
