Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data,Phase,Text Data,Phase
66.15,16.89,11.28,0.187,0.088,0.067,1.405,11.48,,II,
64.68,15.62,10.58,0.211,0.087,0.074,1.41,11.50,,ti,
63.7,15.25,10.14,0.234,0.127,0.079,1.415,11.56,,II,
61.25,14.06,9.13,0.246,0.12,0.077,1.427,l1.63,,II,
60.76,14.0,8.96,0.29,0.119,0.09,1.43,l1.70,,II,
58.8,12.74,8.25,0.292,0.116,0.087,1.433,11.75,A,+,C
50.96,9.67,5.99,0.234,0.1,0.058,1.434,11.88,,A,
39.2,6.13,3.71,0.176,0.083,0.035,1.435,12.27,,II,
24.5,3.2,1.89,0.211,0.068,0.034,1.436,12.39,,II,
12.65,1.42,0.83,0.292,0.061,0.04,1.438,12.65,,ti,
9.8,0.99,0.62,0.304,0.059,0.041,1.44,12.88,,II,
9.31,0.98,0.59,0.328,0.058,0.044,1.443,13.05,,II,
7.35,0.77,0.46,0.332,0.057,0.043,1.443,13.27,,II,
6.37,0.58,0.39,0.339,0.057,0.044,1.444,13.54,,II,
5.9,0.57,0.36,0.351,0.056,0.045,1.444,13.70,,II,
1.96,0.18,0.12,0.374,0.055,0.046,1.445,13.70,,II,
