Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J,9_phase
-227.25,,0.89,,21.752.1312.4,,3.52,,58.6,ice + A + G,
-10.58.75,,1.17,,26.252.8011.3,,3.50,,53.7,A +  G + H,
3.712.05,,1.95,,36.154.657.2,,2.68,,44.6,A + B + H,
3413.65,,2.19,,30.953.9410.4,,3.84,,35.0,B + H +,I
50.615,,3.93,,459.3612.4,,7.48,,27.6,B + C +,I
5414.7,,3.92,,43.99.2914.3,,8.78,,27.1,C + I + J,
-16.99.25,,1.06,,27.752.520,,0,,63.0,ice +,A
513.58,,2.14,,40.725.110,,0,,45.7,A +,B
57.516.82,,3.72,,50.488.860,,0,,32.7,B +,C
Sec t ion II :,,( 50% K H2 co,3,+ 50% K HP024) -CO (NH2),2-,o 2,,,,
-3521,,2.86,,212.275,,1.57,,53.0,ice + B + G,
-622.2,,3.29,,22.22.617.2,,2.46,,48.5,B + G + H,
c 3750,,,,5013.7,,,,33.8,B + D + H,
39.626.3,,5.74,,26.34.5614.3,,7.19,,33.1,D + H +,I
6125.4,,7.23,,25.45.7423.8,,15.60,,25.4,D + I + J,
-31.521.75,,2.78,,21.752.200,,0,,56.5,ice +,B
51.531.5,,6.15,,31.54.880,,0,,37.0,B +,D
S ection III :,,( 75% K o 2,co,+ 325% K 2 HP04) -CO (NH 2,) 2 -H,2,,,,
-37.530.75,,4.09,,10.251.084.7,,1.44,,55.0,ice + B + G,
-12.531.05,,4.38,,10.351.167.4,,2.40,,51.2,B + G + H,
25.238.1,,7.33,,12.71.9311.6,,5.13,,37.6,B + E + H,
